# Pathway	H4_Abundance
UNMAPPED	4681314.7880483512
UNINTEGRATED	1585910.0391742301
UNINTEGRATED|g__Prevotella.s__Prevotella_stercorea	76871.6087703031
UNINTEGRATED|g__Roseburia.s__Roseburia_inulinivorans	9607.8354804585
UNINTEGRATED|g__Butyrivibrio.s__Butyrivibrio_crossotus	68777.4633949966
UNINTEGRATED|g__Roseburia.s__Roseburia_intestinalis	14505.8299551995
UNINTEGRATED|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	162183.3771279359
UNINTEGRATED|g__Coprococcus.s__Coprococcus_eutactus	8842.6710207877
UNINTEGRATED|g__Ruminococcus.s__Ruminococcus_bromii	10993.9329005862
UNINTEGRATED|g__Coprococcus.s__Coprococcus_comes	13486.8843307003
UNINTEGRATED|g__Streptococcus.s__Streptococcus_salivarius	7301.0683229542
UNINTEGRATED|g__Eubacterium.s__Eubacterium_hallii	2339.1486391646
UNINTEGRATED|g__Blautia.s__Ruminococcus_torques	17984.3702513031
UNINTEGRATED|g__Eubacterium.s__Eubacterium_ramulus	9005.0227937760
UNINTEGRATED|g__Erysipelotrichaceae_noname.s__Eubacterium_biforme	5265.7979160591
UNINTEGRATED|g__Coprococcus.s__Coprococcus_catus	8194.0470663218
UNINTEGRATED|g__Eubacterium.s__Eubacterium_rectale	8968.5353512425
UNINTEGRATED|g__Phascolarctobacterium.s__Phascolarctobacterium_succinatutens	196398.7222615143
UNINTEGRATED|g__Treponema.s__Treponema_succinifaciens	2262.7303113391
UNINTEGRATED|g__Eubacterium.s__Eubacterium_siraeum	10732.8346659026
UNINTEGRATED|g__Collinsella.s__Collinsella_aerofaciens	8467.5656904420
UNINTEGRATED|g__Streptococcus.s__Streptococcus_parasanguinis	645.5303808461
UNINTEGRATED|g__Ruminococcus.s__Ruminococcus_callidus	1387.3038999155
UNINTEGRATED|g__Ruminococcus.s__Ruminococcus_champanellensis	3590.4742978034
UNINTEGRATED|g__Methanobrevibacter.s__Methanobrevibacter_smithii	1852.9229870194
UNINTEGRATED|unclassified	793365.6744688132
UNINTEGRATED|g__Desulfovibrio.s__Desulfovibrio_piger	3452.5091453230
UNINTEGRATED|g__Dorea.s__Dorea_longicatena	10581.6311920030
UNINTEGRATED|g__Blautia.s__Ruminococcus_obeum	22024.8567994299
UNINTEGRATED|g__Dorea.s__Dorea_formicigenerans	23978.9690781420
UNINTEGRATED|g__Prevotella.s__Prevotella_copri	70765.6450881545
PWY-7219: adenosine ribonucleotides de novo biosynthesis	4072.9299165998
PWY-7219: adenosine ribonucleotides de novo biosynthesis|unclassified	2671.9014120034
