# Pathway	H26_Abundance
UNMAPPED	2815413.5810436765
UNINTEGRATED	934937.6586629689
UNINTEGRATED|g__Prevotella.s__Prevotella_stercorea	4841.1309953321
UNINTEGRATED|g__Roseburia.s__Roseburia_inulinivorans	7445.1470840967
UNINTEGRATED|g__Escherichia.s__Escherichia_coli	94243.1276094534
UNINTEGRATED|g__Butyrivibrio.s__Butyrivibrio_crossotus	1137.1261354844
UNINTEGRATED|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	137457.2507194936
UNINTEGRATED|g__Roseburia.s__Roseburia_intestinalis	5429.6106356595
UNINTEGRATED|g__Catenibacterium.s__Catenibacterium_mitsuokai	5124.2865733775
UNINTEGRATED|g__Eubacterium.s__Eubacterium_eligens	603.2489579696
UNINTEGRATED|g__Coprococcus.s__Coprococcus_comes	8163.2553139266
UNINTEGRATED|unclassified	338283.3666108602
UNINTEGRATED|g__Blautia.s__Ruminococcus_torques	10379.7842554113
UNINTEGRATED|g__Eubacterium.s__Eubacterium_ramulus	15873.0313271512
UNINTEGRATED|g__Erysipelotrichaceae_noname.s__Eubacterium_biforme	6005.6330807523
UNINTEGRATED|g__Coprococcus.s__Coprococcus_catus	3047.5689945479
UNINTEGRATED|g__Eubacterium.s__Eubacterium_rectale	7349.9761098466
UNINTEGRATED|g__Phascolarctobacterium.s__Phascolarctobacterium_succinatutens	60730.4469639039
UNINTEGRATED|g__Treponema.s__Treponema_succinifaciens	1904.3379756302
UNINTEGRATED|g__Eubacterium.s__Eubacterium_siraeum	15763.9205497193
UNINTEGRATED|g__Collinsella.s__Collinsella_aerofaciens	3206.7968853605
UNINTEGRATED|g__Prevotella.s__Prevotella_copri	35952.0992729029
UNINTEGRATED|g__Ruminococcus.s__Ruminococcus_champanellensis	2158.1788614223
UNINTEGRATED|g__Methanobrevibacter.s__Methanobrevibacter_smithii	2031.3414407049
UNINTEGRATED|g__Eubacterium.s__Eubacterium_hallii	7829.2312218845
