# Pathway	H1_Abundance
UNMAPPED	6170650.4126780294
UNINTEGRATED	1705723.0422817389
UNINTEGRATED|g__Prevotella.s__Prevotella_stercorea	38610.2906856484
UNINTEGRATED|g__Roseburia.s__Roseburia_inulinivorans	6753.9681408645
UNINTEGRATED|g__Escherichia.s__Escherichia_coli	94407.7943294677
UNINTEGRATED|g__Butyrivibrio.s__Butyrivibrio_crossotus	4163.1790159774
UNINTEGRATED|g__Peptostreptococcaceae_noname.s__Clostridium_bartlettii	1467.6150726158
UNINTEGRATED|g__Catenibacterium.s__Catenibacterium_mitsuokai	11926.4027773149
UNINTEGRATED|g__Roseburia.s__Roseburia_intestinalis	13961.1594670716
UNINTEGRATED|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	110722.6949147760
UNINTEGRATED|g__Veillonella.s__Veillonella_parvula	2039.2641653388
UNINTEGRATED|g__Ruminococcus.s__Ruminococcus_bromii	3510.7550342261
UNINTEGRATED|g__Coprococcus.s__Coprococcus_comes	4792.1474392781
UNINTEGRATED|g__Streptococcus.s__Streptococcus_salivarius	7052.0732986503
UNINTEGRATED|g__Eubacterium.s__Eubacterium_hallii	10406.4102402049
UNINTEGRATED|g__Blautia.s__Ruminococcus_torques	8422.9082517361
UNINTEGRATED|g__Roseburia.s__Roseburia_hominis	1069.8677875234
UNINTEGRATED|g__Eubacterium.s__Eubacterium_ramulus	5077.7099997830
UNINTEGRATED|g__Bacteroides.s__Bacteroides_fragilis	26583.0478274526
UNINTEGRATED|g__Erysipelotrichaceae_noname.s__Eubacterium_biforme	461.3523449231
UNINTEGRATED|g__Coprococcus.s__Coprococcus_catus	3973.1384628260
UNINTEGRATED|g__Klebsiella.s__Klebsiella_pneumoniae	24988.5067226802
UNINTEGRATED|g__Haemophilus.s__Haemophilus_pittmaniae	4131.1462123214
UNINTEGRATED|g__Haemophilus.s__Haemophilus_parainfluenzae	11066.7269330837
UNINTEGRATED|g__Eubacterium.s__Eubacterium_rectale	27502.2395014766
UNINTEGRATED|g__Phascolarctobacterium.s__Phascolarctobacterium_succinatutens	71231.9840616902
UNINTEGRATED|g__Treponema.s__Treponema_succinifaciens	23254.1841893205
UNINTEGRATED|g__Bacteroides.s__Bacteroides_intestinalis	11133.7578779223
UNINTEGRATED|g__Mitsuokella.s__Mitsuokella_multacida	695.5592858622
UNINTEGRATED|g__Eubacterium.s__Eubacterium_siraeum	62917.4917629822
UNINTEGRATED|g__Collinsella.s__Collinsella_aerofaciens	825.4308072206
UNINTEGRATED|g__Prevotella.s__Prevotella_copri	239507.2000890911
UNINTEGRATED|g__Ruminococcus.s__Ruminococcus_flavefaciens	4236.1113688181
UNINTEGRATED|g__Ruminococcus.s__Ruminococcus_champanellensis	11381.1706188226
UNINTEGRATED|g__Methanobrevibacter.s__Methanobrevibacter_smithii	2702.1535161967
UNINTEGRATED|unclassified	730100.2217681970
UNINTEGRATED|g__Blautia.s__Ruminococcus_obeum	11189.9597428062
UNINTEGRATED|g__Dorea.s__Dorea_formicigenerans	5045.8440524293
PWY-7219: adenosine ribonucleotides de novo biosynthesis	3376.6484539031
PWY-7219: adenosine ribonucleotides de novo biosynthesis|unclassified	2028.3239259821
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Prevotella.s__Prevotella_copri	612.7372596781
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Phascolarctobacterium.s__Phascolarctobacterium_succinatutens	253.7290478516
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Eubacterium.s__Eubacterium_siraeum	123.4000488403
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	115.3070912376
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Eubacterium.s__Eubacterium_rectale	46.2354248299
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Prevotella.s__Prevotella_stercorea	45.3166034258
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Ruminococcus.s__Ruminococcus_champanellensis	37.3277181306
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Treponema.s__Treponema_succinifaciens	36.0345721085
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Methanobrevibacter.s__Methanobrevibacter_smithii	20.2108735063
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Haemophilus.s__Haemophilus_parainfluenzae	19.4942878262
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Escherichia.s__Escherichia_coli	15.7633995706
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Veillonella.s__Veillonella_parvula	10.7976505653
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Catenibacterium.s__Catenibacterium_mitsuokai	7.9424028569
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Roseburia.s__Roseburia_inulinivorans	7.5734185113
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Klebsiella.s__Klebsiella_pneumoniae	6.5196600346
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Bacteroides.s__Bacteroides_fragilis	4.5443609345
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Coprococcus.s__Coprococcus_catus	3.6721734973
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Blautia.s__Ruminococcus_torques	3.6671744831
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Ruminococcus.s__Ruminococcus_bromii	2.6577763628
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Streptococcus.s__Streptococcus_salivarius	2.3783624193
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Collinsella.s__Collinsella_aerofaciens	2.1263160099
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Eubacterium.s__Eubacterium_hallii	1.9130321235
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Bacteroides.s__Bacteroides_intestinalis	1.8863023369
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Haemophilus.s__Haemophilus_pittmaniae	1.8729483636
