# Pathway	H22_Abundance
UNMAPPED	1996203.6441760880
UNINTEGRATED	669043.0424017016
UNINTEGRATED|g__Prevotella.s__Prevotella_stercorea	5763.6012235494
UNINTEGRATED|g__Roseburia.s__Roseburia_inulinivorans	7841.1456526488
UNINTEGRATED|g__Escherichia.s__Escherichia_coli	61653.1172993857
UNINTEGRATED|g__Catenibacterium.s__Catenibacterium_mitsuokai	2677.0056118287
UNINTEGRATED|g__Roseburia.s__Roseburia_intestinalis	4468.9977906077
UNINTEGRATED|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	119519.3445550465
UNINTEGRATED|g__Coprococcus.s__Coprococcus_comes	2733.8393911199
UNINTEGRATED|g__Eubacterium.s__Eubacterium_hallii	4507.3000688057
UNINTEGRATED|g__Blautia.s__Ruminococcus_torques	5648.1945175736
UNINTEGRATED|g__Eubacterium.s__Eubacterium_ramulus	7420.8109050028
UNINTEGRATED|g__Erysipelotrichaceae_noname.s__Eubacterium_biforme	2615.4857514042
UNINTEGRATED|g__Coprococcus.s__Coprococcus_catus	1883.0106076193
UNINTEGRATED|g__Eubacterium.s__Eubacterium_rectale	6482.1810129862
UNINTEGRATED|g__Phascolarctobacterium.s__Phascolarctobacterium_succinatutens	42961.5072573528
UNINTEGRATED|g__Treponema.s__Treponema_succinifaciens	2056.4603875145
UNINTEGRATED|g__Eubacterium.s__Eubacterium_siraeum	10928.9152353811
UNINTEGRATED|g__Collinsella.s__Collinsella_aerofaciens	3092.5756642758
UNINTEGRATED|g__Prevotella.s__Prevotella_copri	28648.0477167413
UNINTEGRATED|g__Ruminococcus.s__Ruminococcus_champanellensis	2471.9114343558
UNINTEGRATED|g__Methanobrevibacter.s__Methanobrevibacter_smithii	1412.6134369827
UNINTEGRATED|unclassified	252998.4906465074
UNINTEGRATED|g__Desulfovibrio.s__Desulfovibrio_piger	814.4825793463
UNINTEGRATED|g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_5_1_63FAA	2024.8684658357
UNINTEGRATED|g__Dorea.s__Dorea_longicatena	5244.0807991853
UNINTEGRATED|g__Blautia.s__Ruminococcus_obeum	13840.4251837856
UNINTEGRATED|g__Dorea.s__Dorea_formicigenerans	6604.0781609831
PWY-7219: adenosine ribonucleotides de novo biosynthesis	1180.5552855780
PWY-7219: adenosine ribonucleotides de novo biosynthesis|unclassified	690.5464186954
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	154.3619156317
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Phascolarctobacterium.s__Phascolarctobacterium_succinatutens	100.3780659423
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Prevotella.s__Prevotella_copri	88.6396228492
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Prevotella.s__Prevotella_stercorea	28.1861399592
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Escherichia.s__Escherichia_coli	15.9869954959
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Eubacterium.s__Eubacterium_rectale	13.5189500064
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Collinsella.s__Collinsella_aerofaciens	12.5427831610
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Eubacterium.s__Eubacterium_siraeum	11.0631804052
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Erysipelotrichaceae_noname.s__Eubacterium_biforme	8.7125230986
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Treponema.s__Treponema_succinifaciens	7.4040334070
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Ruminococcus.s__Ruminococcus_champanellensis	6.9177017442
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Methanobrevibacter.s__Methanobrevibacter_smithii	6.1239524581
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Blautia.s__Ruminococcus_torques	5.6121933451
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Catenibacterium.s__Catenibacterium_mitsuokai	4.1228356630
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_5_1_63FAA	3.6693939404
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Coprococcus.s__Coprococcus_comes	2.8747742695
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Blautia.s__Ruminococcus_obeum	2.6240566548
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Roseburia.s__Roseburia_inulinivorans	2.5748048835
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Desulfovibrio.s__Desulfovibrio_piger	2.5642204519
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Dorea.s__Dorea_formicigenerans	2.2429208789
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Eubacterium.s__Eubacterium_ramulus	1.3785548876
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Coprococcus.s__Coprococcus_catus	1.2393707856
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Roseburia.s__Roseburia_intestinalis	0.9614690719
TRNA-CHARGING-PWY: tRNA charging	936.8898093111
TRNA-CHARGING-PWY: tRNA charging|unclassified	588.1810414399
PWY-7221: guanosine ribonucleotides de novo biosynthesis	871.9409554871
PWY-7221: guanosine ribonucleotides de novo biosynthesis|unclassified	523.8204707262
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Phascolarctobacterium.s__Phascolarctobacterium_succinatutens	91.9150196430
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	81.6307784958
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Prevotella.s__Prevotella_copri	48.9919099184
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Escherichia.s__Escherichia_coli	18.7741397548
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Prevotella.s__Prevotella_stercorea	11.0533521383
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Collinsella.s__Collinsella_aerofaciens	7.8871853784
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Eubacterium.s__Eubacterium_rectale	5.9602288271
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Eubacterium.s__Eubacterium_siraeum	3.3828627800
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Ruminococcus.s__Ruminococcus_champanellensis	3.1675823933
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Desulfovibrio.s__Desulfovibrio_piger	2.9917185224
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Eubacterium.s__Eubacterium_ramulus	2.4268444888
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Coprococcus.s__Coprococcus_comes	1.2240494645
PWY-1042: glycolysis IV (plant cytosol)	821.9861671876
PWY-1042: glycolysis IV (plant cytosol)|unclassified	448.6686834801
PWY-1042: glycolysis IV (plant cytosol)|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	141.3945824737
PWY-1042: glycolysis IV (plant cytosol)|g__Escherichia.s__Escherichia_coli	29.0224605242
PWY-1042: glycolysis IV (plant cytosol)|g__Blautia.s__Ruminococcus_torques	10.1683214590
PWY-1042: glycolysis IV (plant cytosol)|g__Collinsella.s__Collinsella_aerofaciens	8.9912186140
PWY-1042: glycolysis IV (plant cytosol)|g__Eubacterium.s__Eubacterium_hallii	4.2349186630
PWY-1042: glycolysis IV (plant cytosol)|g__Treponema.s__Treponema_succinifaciens	3.6368595978
PWY-1042: glycolysis IV (plant cytosol)|g__Ruminococcus.s__Ruminococcus_champanellensis	2.9033048801
PWY-1042: glycolysis IV (plant cytosol)|g__Erysipelotrichaceae_noname.s__Eubacterium_biforme	2.7234015493
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II	811.1862205421
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|unclassified	450.1458914523
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|g__Phascolarctobacterium.s__Phascolarctobacterium_succinatutens	90.9302074897
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|g__Prevotella.s__Prevotella_copri	48.2829834369
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	34.5877693934
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|g__Eubacterium.s__Eubacterium_siraeum	15.6651782431
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|g__Erysipelotrichaceae_noname.s__Eubacterium_biforme	8.0675451307
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|g__Collinsella.s__Collinsella_aerofaciens	6.5113151214
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|g__Escherichia.s__Escherichia_coli	6.3856582449
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|g__Treponema.s__Treponema_succinifaciens	4.5561034503
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_5_1_63FAA	4.2879756691
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|g__Ruminococcus.s__Ruminococcus_champanellensis	4.0418393909
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|g__Methanobrevibacter.s__Methanobrevibacter_smithii	3.6187337117
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|g__Eubacterium.s__Eubacterium_ramulus	3.3046440256
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|g__Catenibacterium.s__Catenibacterium_mitsuokai	2.3450725553
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|g__Desulfovibrio.s__Desulfovibrio_piger	1.4426791807
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|g__Coprococcus.s__Coprococcus_comes	1.4091960026
PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis	811.1862205421
PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis|unclassified	450.1458914523
PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis|g__Phascolarctobacterium.s__Phascolarctobacterium_succinatutens	90.9302074897
PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis|g__Prevotella.s__Prevotella_copri	48.2829834369
PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	34.5877693934
PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis|g__Eubacterium.s__Eubacterium_siraeum	15.6651782431
PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis|g__Erysipelotrichaceae_noname.s__Eubacterium_biforme	8.0675451307
PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis|g__Collinsella.s__Collinsella_aerofaciens	6.5113151214
PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis|g__Escherichia.s__Escherichia_coli	6.3856582449
PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis|g__Treponema.s__Treponema_succinifaciens	4.5561034503
PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis|g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_5_1_63FAA	4.2879756691
PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis|g__Ruminococcus.s__Ruminococcus_champanellensis	4.0418393909
PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis|g__Methanobrevibacter.s__Methanobrevibacter_smithii	3.6187337117
PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis|g__Eubacterium.s__Eubacterium_ramulus	3.3046440256
PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis|g__Catenibacterium.s__Catenibacterium_mitsuokai	2.3450725553
PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis|g__Desulfovibrio.s__Desulfovibrio_piger	1.4426791807
PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis|g__Coprococcus.s__Coprococcus_comes	1.4091960026
PWY-6700: queuosine biosynthesis	768.6044198083
PWY-6700: queuosine biosynthesis|unclassified	572.5212632138
PWY-6700: queuosine biosynthesis|g__Phascolarctobacterium.s__Phascolarctobacterium_succinatutens	57.9189029037
PWY-6700: queuosine biosynthesis|g__Prevotella.s__Prevotella_copri	35.9535735433
PWY-6700: queuosine biosynthesis|g__Escherichia.s__Escherichia_coli	15.5869629570
PWY-6700: queuosine biosynthesis|g__Prevotella.s__Prevotella_stercorea	3.5761631096
PWY-6700: queuosine biosynthesis|g__Eubacterium.s__Eubacterium_hallii	2.7397637850
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)	672.1439885348
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|unclassified	223.5614256866
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	178.0611200272
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|g__Escherichia.s__Escherichia_coli	12.7108320246
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|g__Eubacterium.s__Eubacterium_siraeum	11.7709186625
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|g__Eubacterium.s__Eubacterium_rectale	8.0762980018
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|g__Catenibacterium.s__Catenibacterium_mitsuokai	6.7582910904
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|g__Eubacterium.s__Eubacterium_hallii	6.2667701996
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|g__Treponema.s__Treponema_succinifaciens	6.2202094985
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|g__Blautia.s__Ruminococcus_obeum	6.1353970758
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|g__Methanobrevibacter.s__Methanobrevibacter_smithii	3.7430358715
PWY-7111: pyruvate fermentation to isobutanol (engineered)	672.1439885348
PWY-7111: pyruvate fermentation to isobutanol (engineered)|unclassified	223.5614256866
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	163.9538311084
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Phascolarctobacterium.s__Phascolarctobacterium_succinatutens	89.0408322063
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Escherichia.s__Escherichia_coli	23.8222945610
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Eubacterium.s__Eubacterium_siraeum	17.6604375103
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Eubacterium.s__Eubacterium_rectale	11.8945892647
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Eubacterium.s__Eubacterium_hallii	8.1821086508
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Blautia.s__Ruminococcus_torques	7.6355796783
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Catenibacterium.s__Catenibacterium_mitsuokai	6.1380421906
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_5_1_63FAA	5.8044861411
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Coprococcus.s__Coprococcus_comes	5.7408797759
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Eubacterium.s__Eubacterium_ramulus	4.7665650901
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Blautia.s__Ruminococcus_obeum	4.6079590308
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Treponema.s__Treponema_succinifaciens	4.3189528496
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Methanobrevibacter.s__Methanobrevibacter_smithii	2.8470346388
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Dorea.s__Dorea_formicigenerans	2.3630202640
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Coprococcus.s__Coprococcus_catus	1.6350224523
