# Pathway	H7_Abundance
UNMAPPED	1727789.3286544760
UNINTEGRATED	1017210.7959248730
UNINTEGRATED|g__Prevotella.s__Prevotella_stercorea	19212.9432823586
UNINTEGRATED|g__Escherichia.s__Escherichia_coli	154595.3330990130
UNINTEGRATED|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	29545.2840998127
UNINTEGRATED|g__Catenibacterium.s__Catenibacterium_mitsuokai	11486.3845379110
UNINTEGRATED|g__Veillonella.s__Veillonella_parvula	624.6286569098
UNINTEGRATED|g__Lactobacillus.s__Lactobacillus_ruminis	2283.1985878427
UNINTEGRATED|g__Streptococcus.s__Streptococcus_salivarius	899.0928242930
UNINTEGRATED|g__Blautia.s__Ruminococcus_torques	3087.0597214681
UNINTEGRATED|g__Roseburia.s__Roseburia_hominis	3916.8468333433
UNINTEGRATED|g__Erysipelotrichaceae_noname.s__Eubacterium_biforme	808.6621178960
UNINTEGRATED|g__Campylobacter.s__Campylobacter_jejuni	2348.9963839111
UNINTEGRATED|g__Neisseria.s__Neisseria_flavescens	4364.6511447334
UNINTEGRATED|g__Coprococcus.s__Coprococcus_catus	618.4220316136
UNINTEGRATED|g__Haemophilus.s__Haemophilus_parainfluenzae	4765.5804124760
UNINTEGRATED|g__Eubacterium.s__Eubacterium_rectale	4444.1320909897
UNINTEGRATED|g__Phascolarctobacterium.s__Phascolarctobacterium_succinatutens	3263.5369395210
UNINTEGRATED|g__Treponema.s__Treponema_succinifaciens	32252.9600351446
UNINTEGRATED|g__Eubacterium.s__Eubacterium_siraeum	2168.7336325538
UNINTEGRATED|g__Collinsella.s__Collinsella_aerofaciens	690.9265481758
UNINTEGRATED|g__Prevotella.s__Prevotella_copri	481984.5362849518
UNINTEGRATED|g__Brachyspira.s__Brachyspira_pilosicoli	5826.8514569031
UNINTEGRATED|g__Methanobrevibacter.s__Methanobrevibacter_smithii	60.2256005135
UNINTEGRATED|unclassified	334628.6079322009
UNINTEGRATED|g__Dorea.s__Dorea_longicatena	2089.3336023080
UNINTEGRATED|g__Blautia.s__Ruminococcus_obeum	2975.5267317029
UNINTEGRATED|g__Dorea.s__Dorea_formicigenerans	4061.6142624999
UNINTEGRATED|g__Providencia.s__Providencia_alcalifaciens	1383.0126763454
PWY-7219: adenosine ribonucleotides de novo biosynthesis	2007.2864971937
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Prevotella.s__Prevotella_copri	1005.3383953390
PWY-7219: adenosine ribonucleotides de novo biosynthesis|unclassified	679.9791362458
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Prevotella.s__Prevotella_stercorea	58.1854047849
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Treponema.s__Treponema_succinifaciens	54.0845792181
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Escherichia.s__Escherichia_coli	45.6273801390
