# Pathway	IT8_Abundance
UNMAPPED	1147049.3918030569
UNINTEGRATED	1205116.9539772989
UNINTEGRATED|g__Coprococcus.s__Coprococcus_sp_ART55_1	80462.8382651707
UNINTEGRATED|g__Roseburia.s__Roseburia_inulinivorans	12765.5922275040
UNINTEGRATED|g__Ruminococcus.s__Ruminococcus_sp_5_1_39BFAA	68791.5932119362
UNINTEGRATED|g__Escherichia.s__Escherichia_coli	27706.3446397993
UNINTEGRATED|g__Klebsiella.s__Klebsiella_pneumoniae	4083.4808292020
UNINTEGRATED|g__Bacteroides.s__Bacteroides_salyersiae	465.4646885841
UNINTEGRATED|g__Ruminococcus.s__Ruminococcus_lactaris	21108.9522992624
UNINTEGRATED|g__Pseudoflavonifractor.s__Pseudoflavonifractor_capillosus	10946.7429461790
UNINTEGRATED|g__Roseburia.s__Roseburia_intestinalis	61694.0897710652
UNINTEGRATED|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	143238.6958086857
UNINTEGRATED|g__Alistipes.s__Alistipes_shahii	298.6244788384
UNINTEGRATED|g__Ruminococcus.s__Ruminococcus_bromii	13129.4721519430
UNINTEGRATED|g__Blautia.s__Ruminococcus_gnavus	9804.7971803514
UNINTEGRATED|g__Coprococcus.s__Coprococcus_comes	52235.6233114139
UNINTEGRATED|g__Adlercreutzia.s__Adlercreutzia_equolifaciens	761.2648545450
UNINTEGRATED|unclassified	260013.0392703513
UNINTEGRATED|g__Blautia.s__Ruminococcus_torques	32413.7118874870
UNINTEGRATED|g__Bifidobacterium.s__Bifidobacterium_adolescentis	27567.6160292657
UNINTEGRATED|g__Anaerostipes.s__Anaerostipes_hadrus	22793.5042254772
UNINTEGRATED|g__Alistipes.s__Alistipes_putredinis	1930.2640012031
UNINTEGRATED|g__Clostridium.s__Clostridium_leptum	6323.0475466349
UNINTEGRATED|g__Eubacterium.s__Eubacterium_ramulus	4685.9504278857
UNINTEGRATED|g__Bifidobacterium.s__Bifidobacterium_catenulatum	59538.9205194920
UNINTEGRATED|g__Blautia.s__Ruminococcus_obeum	53648.8515309155
UNINTEGRATED|g__Subdoligranulum.s__Subdoligranulum_variabile	15480.1711035435
UNINTEGRATED|g__Bacteroides.s__Bacteroides_barnesiae	3606.3667698694
UNINTEGRATED|g__Eubacterium.s__Eubacterium_rectale	25283.3384235679
UNINTEGRATED|g__Eubacterium.s__Eubacterium_ventriosum	8604.3778346203
UNINTEGRATED|g__Eubacterium.s__Eubacterium_siraeum	7955.0928556988
UNINTEGRATED|g__Collinsella.s__Collinsella_aerofaciens	28639.6572576035
UNINTEGRATED|g__Bifidobacterium.s__Bifidobacterium_longum	29800.5253580477
UNINTEGRATED|g__Bacteroides.s__Bacteroides_cellulosilyticus	1866.0495931764
UNINTEGRATED|g__Eubacterium.s__Eubacterium_hallii	22183.9008577598
UNINTEGRATED|g__Desulfovibrio.s__Desulfovibrio_piger	2341.1214958576
UNINTEGRATED|g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_5_1_63FAA	22358.6436320911
UNINTEGRATED|g__Dorea.s__Dorea_longicatena	15794.6258605536
UNINTEGRATED|g__Flavonifractor.s__Flavonifractor_plautii	5499.5612707329
UNINTEGRATED|g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_1_1_57FAA	8911.7515095788
UNINTEGRATED|g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_7_1_58FAA	2976.4466477965
UNINTEGRATED|g__Dorea.s__Dorea_formicigenerans	28048.6955665923
UNINTEGRATED|g__Parabacteroides.s__Parabacteroides_merdae	2299.0939236042
UNINTEGRATED|g__Bacteroides.s__Bacteroides_eggerthii	1499.3852714368
UNINTEGRATED|g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_1_4_56FAA	876.7529533968
PWY-7111: pyruvate fermentation to isobutanol (engineered)	2105.5712786770
PWY-7111: pyruvate fermentation to isobutanol (engineered)|unclassified	591.9521503742
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	291.4104411744
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Ruminococcus.s__Ruminococcus_sp_5_1_39BFAA	145.3215927783
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Coprococcus.s__Coprococcus_sp_ART55_1	118.7038267584
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Coprococcus.s__Coprococcus_comes	87.1580273134
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Roseburia.s__Roseburia_intestinalis	81.3111707053
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Blautia.s__Ruminococcus_obeum	57.1945608278
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Bifidobacterium.s__Bifidobacterium_longum	55.7115904025
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Ruminococcus.s__Ruminococcus_bromii	55.1039475573
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Eubacterium.s__Eubacterium_hallii	46.0203984246
