# Pathway	IT3_Abundance
UNMAPPED	1764047.9531415217
UNINTEGRATED	3365650.5930989468
UNINTEGRATED|g__Adlercreutzia.s__Adlercreutzia_equolifaciens	687.0563026673
UNINTEGRATED|g__Bacteroides.s__Bacteroides_dorei	143341.4894518445
UNINTEGRATED|g__Ruminococcus.s__Ruminococcus_sp_5_1_39BFAA	42443.6544896492
UNINTEGRATED|g__Bacteroides.s__Bacteroides_ovatus	73225.7328296851
UNINTEGRATED|g__Escherichia.s__Escherichia_coli	46749.1109325462
UNINTEGRATED|g__Odoribacter.s__Odoribacter_splanchnicus	21524.9786663126
UNINTEGRATED|g__Bacteroides.s__Bacteroides_vulgatus	315384.1348960142
UNINTEGRATED|g__Coriobacteriaceae_noname.s__Coriobacteriaceae_bacterium_phI	3536.6992509329
UNINTEGRATED|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	475666.0499169375
UNINTEGRATED|g__Eubacterium.s__Eubacterium_eligens	4817.8849609837
UNINTEGRATED|g__Coprococcus.s__Coprococcus_comes	32778.9756253458
UNINTEGRATED|g__Ruminococcus.s__Ruminococcus_bromii	83178.0665570835
UNINTEGRATED|g__Clostridium.s__Clostridium_leptum	4320.8359435633
UNINTEGRATED|g__Roseburia.s__Roseburia_inulinivorans	28265.2276962032
UNINTEGRATED|g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_8_1_57FAA	7578.1957018032
UNINTEGRATED|unclassified	366043.9410645147
UNINTEGRATED|g__Parabacteroides.s__Parabacteroides_distasonis	84891.6746326964
UNINTEGRATED|g__Bacteroides.s__Bacteroides_plebeius	383670.8331049021
UNINTEGRATED|g__Roseburia.s__Roseburia_hominis	10165.4990087308
UNINTEGRATED|g__Bifidobacterium.s__Bifidobacterium_adolescentis	43829.2055788919
UNINTEGRATED|g__Alistipes.s__Alistipes_onderdonkii	26371.4717725175
UNINTEGRATED|g__Streptococcus.s__Streptococcus_thermophilus	6462.7194548525
UNINTEGRATED|g__Blautia.s__Ruminococcus_gnavus	12499.4695426427
UNINTEGRATED|g__Eubacterium.s__Eubacterium_ramulus	29209.0366441535
UNINTEGRATED|g__Bacteroides.s__Bacteroides_fragilis	112937.0773701471
UNINTEGRATED|g__Alistipes.s__Alistipes_finegoldii	2190.0996638950
UNINTEGRATED|g__Coprococcus.s__Coprococcus_catus	6811.7295294801
UNINTEGRATED|g__Streptococcus.s__Streptococcus_salivarius	4083.8238276961
UNINTEGRATED|g__Klebsiella.s__Klebsiella_pneumoniae	6199.2918282437
UNINTEGRATED|g__Haemophilus.s__Haemophilus_parainfluenzae	653.0343947998
UNINTEGRATED|g__Eubacterium.s__Eubacterium_rectale	390007.9866952049
UNINTEGRATED|g__Bacteroides.s__Bacteroides_xylanisolvens	36590.2773310132
UNINTEGRATED|g__Dialister.s__Dialister_invisus	74326.8489140344
UNINTEGRATED|g__Eubacterium.s__Eubacterium_ventriosum	12858.4866826482
UNINTEGRATED|g__Bacteroides.s__Bacteroides_thetaiotaomicron	21158.3172998141
UNINTEGRATED|g__Eubacterium.s__Eubacterium_siraeum	7692.7181537013
