# Pathway	H19_Abundance
UNMAPPED	1765373.0755765690
UNINTEGRATED	1087118.0052072073
UNINTEGRATED|g__Prevotella.s__Prevotella_stercorea	67798.6126137860
UNINTEGRATED|g__Roseburia.s__Roseburia_inulinivorans	4500.4765399436
UNINTEGRATED|g__Escherichia.s__Escherichia_coli	133048.6295133370
UNINTEGRATED|g__Roseburia.s__Roseburia_intestinalis	11761.5508611589
UNINTEGRATED|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	57686.7983509880
UNINTEGRATED|g__Lactobacillus.s__Lactobacillus_ruminis	295.0340702336
UNINTEGRATED|g__Streptococcus.s__Streptococcus_salivarius	1333.9189120498
UNINTEGRATED|g__Eubacterium.s__Eubacterium_hallii	0.0000000000
UNINTEGRATED|g__Blautia.s__Ruminococcus_torques	3350.6797610260
UNINTEGRATED|g__Roseburia.s__Roseburia_hominis	4089.5123793336
UNINTEGRATED|g__Eubacterium.s__Eubacterium_ramulus	3563.2050962893
UNINTEGRATED|g__Mitsuokella.s__Mitsuokella_multacida	4160.9997796303
UNINTEGRATED|g__Erysipelotrichaceae_noname.s__Eubacterium_biforme	849.8302427748
UNINTEGRATED|g__Coprococcus.s__Coprococcus_catus	1014.6841568623
UNINTEGRATED|g__Klebsiella.s__Klebsiella_pneumoniae	6523.8805056691
UNINTEGRATED|g__Haemophilus.s__Haemophilus_parainfluenzae	438.1531257453
UNINTEGRATED|g__Eubacterium.s__Eubacterium_rectale	144162.9002160837
UNINTEGRATED|g__Phascolarctobacterium.s__Phascolarctobacterium_succinatutens	4896.3356008401
UNINTEGRATED|g__Treponema.s__Treponema_succinifaciens	3137.7542923227
UNINTEGRATED|g__Eubacterium.s__Eubacterium_siraeum	3038.2341342035
UNINTEGRATED|g__Collinsella.s__Collinsella_aerofaciens	687.1685484952
UNINTEGRATED|g__Prevotella.s__Prevotella_copri	359945.3197098039
UNINTEGRATED|g__Lactococcus.s__Lactococcus_lactis	768.9237230920
UNINTEGRATED|unclassified	245670.6838088041
UNINTEGRATED|g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_5_1_63FAA	2697.4685252165
UNINTEGRATED|g__Dorea.s__Dorea_longicatena	2193.5537063815
UNINTEGRATED|g__Blautia.s__Ruminococcus_obeum	5315.0454626547
UNINTEGRATED|g__Dorea.s__Dorea_formicigenerans	6852.0480455720
PWY-7219: adenosine ribonucleotides de novo biosynthesis	1833.6052693293
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Prevotella.s__Prevotella_copri	752.0343675340
