# Pathway	H5_Abundance
UNMAPPED	2329195.5089925225
UNINTEGRATED	681710.0988598629
UNINTEGRATED|g__Prevotella.s__Prevotella_stercorea	40275.0460233937
UNINTEGRATED|g__Roseburia.s__Roseburia_inulinivorans	3885.8103066077
UNINTEGRATED|g__Escherichia.s__Escherichia_coli	18163.0485631730
UNINTEGRATED|g__Prevotella.s__Prevotella_copri	58849.5638349305
UNINTEGRATED|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	48564.3453612053
UNINTEGRATED|g__Roseburia.s__Roseburia_intestinalis	8387.7662064759
UNINTEGRATED|g__Catenibacterium.s__Catenibacterium_mitsuokai	905.0536729918
UNINTEGRATED|g__Veillonella.s__Veillonella_parvula	132.6840886527
UNINTEGRATED|g__Ruminococcus.s__Ruminococcus_bromii	7221.0356190482
UNINTEGRATED|g__Coprococcus.s__Coprococcus_comes	5385.5155204430
UNINTEGRATED|g__Streptococcus.s__Streptococcus_salivarius	4113.3887986144
UNINTEGRATED|g__Eubacterium.s__Eubacterium_hallii	2411.4523141146
UNINTEGRATED|g__Blautia.s__Ruminococcus_torques	4571.0276445722
UNINTEGRATED|g__Streptococcus.s__Streptococcus_vestibularis	819.9867302798
UNINTEGRATED|g__Streptococcus.s__Streptococcus_australis	820.6927587438
UNINTEGRATED|g__Methanosphaera.s__Methanosphaera_stadtmanae	378.6166006167
UNINTEGRATED|g__Streptococcus.s__Streptococcus_parasanguinis	1662.2876824676
UNINTEGRATED|g__Coprococcus.s__Coprococcus_catus	2376.0534223962
UNINTEGRATED|g__Haemophilus.s__Haemophilus_parainfluenzae	365.8163726315
UNINTEGRATED|g__Eubacterium.s__Eubacterium_rectale	13943.9714258265
UNINTEGRATED|g__Phascolarctobacterium.s__Phascolarctobacterium_succinatutens	24823.1257665931
UNINTEGRATED|g__Treponema.s__Treponema_succinifaciens	41034.6582970434
UNINTEGRATED|g__Eubacterium.s__Eubacterium_siraeum	32215.9476121458
UNINTEGRATED|g__Collinsella.s__Collinsella_aerofaciens	817.6304726605
UNINTEGRATED|g__Erysipelotrichaceae_noname.s__Eubacterium_biforme	779.0332363650
UNINTEGRATED|g__Bifidobacterium.s__Bifidobacterium_longum	2001.6820472333
UNINTEGRATED|g__Ruminococcus.s__Ruminococcus_champanellensis	1055.6761734034
UNINTEGRATED|g__Methanobrevibacter.s__Methanobrevibacter_smithii	1512.0049517810
UNINTEGRATED|g__Streptococcus.s__Streptococcus_gordonii	318.7836907811
UNINTEGRATED|unclassified	255880.0567263096
UNINTEGRATED|g__Desulfovibrio.s__Desulfovibrio_piger	804.5798599455
UNINTEGRATED|g__Dorea.s__Dorea_longicatena	7370.6587366181
