# Pathway	H13_Abundance
UNMAPPED	5117126.4872950856
UNINTEGRATED	2015643.7499298840
UNINTEGRATED|g__Prevotella.s__Prevotella_stercorea	166994.0644546310
UNINTEGRATED|g__Roseburia.s__Roseburia_inulinivorans	9005.2031826220
UNINTEGRATED|g__Haemophilus.s__Haemophilus_pittmaniae	1580.1211231012
UNINTEGRATED|g__Roseburia.s__Roseburia_intestinalis	11352.8914260454
UNINTEGRATED|g__Eubacterium.s__Eubacterium_eligens	595.8824659487
UNINTEGRATED|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	343940.2453830570
UNINTEGRATED|g__Veillonella.s__Veillonella_parvula	266.8981391951
UNINTEGRATED|g__Ruminococcus.s__Ruminococcus_bromii	32114.7914982545
UNINTEGRATED|g__Coprococcus.s__Coprococcus_comes	6500.2160760724
UNINTEGRATED|g__Eubacterium.s__Eubacterium_hallii	3423.7623643507
UNINTEGRATED|g__Blautia.s__Ruminococcus_torques	20938.2928066269
UNINTEGRATED|g__Roseburia.s__Roseburia_hominis	5908.9625209830
UNINTEGRATED|g__Anaerostipes.s__Anaerostipes_hadrus	27832.5347653124
UNINTEGRATED|g__Eubacterium.s__Eubacterium_ramulus	11254.6355668794
UNINTEGRATED|g__Erysipelotrichaceae_noname.s__Eubacterium_biforme	20079.6266384989
UNINTEGRATED|g__Enterobacter.s__Enterobacter_cloacae	956.5450805371
UNINTEGRATED|g__Coprococcus.s__Coprococcus_catus	5423.7335627387
UNINTEGRATED|g__Klebsiella.s__Klebsiella_pneumoniae	8858.1249746540
UNINTEGRATED|g__Haemophilus.s__Haemophilus_parainfluenzae	598.7367312746
UNINTEGRATED|g__Eubacterium.s__Eubacterium_rectale	24333.8435204604
UNINTEGRATED|g__Phascolarctobacterium.s__Phascolarctobacterium_succinatutens	84976.9072247657
UNINTEGRATED|g__Treponema.s__Treponema_succinifaciens	101828.8456663601
UNINTEGRATED|g__Collinsella.s__Collinsella_aerofaciens	15800.2822712596
UNINTEGRATED|g__Prevotella.s__Prevotella_copri	221648.8393450680
UNINTEGRATED|g__Ruminococcus.s__Ruminococcus_champanellensis	970.6154687632
UNINTEGRATED|g__Methanobrevibacter.s__Methanobrevibacter_smithii	1625.9831426643
UNINTEGRATED|unclassified	799344.4972094058
UNINTEGRATED|g__Desulfovibrio.s__Desulfovibrio_piger	1148.3409862826
UNINTEGRATED|g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_5_1_63FAA	17727.5396604980
UNINTEGRATED|g__Dorea.s__Dorea_longicatena	9986.6333551303
UNINTEGRATED|g__Blautia.s__Ruminococcus_obeum	28638.1771840777
UNINTEGRATED|g__Dorea.s__Dorea_formicigenerans	16337.5038673227
PWY-7219: adenosine ribonucleotides de novo biosynthesis	4312.6485134951
PWY-7219: adenosine ribonucleotides de novo biosynthesis|unclassified	2167.7195743687
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Prevotella.s__Prevotella_copri	560.7735076959
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Prevotella.s__Prevotella_stercorea	456.3218927081
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	355.4588623105
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Phascolarctobacterium.s__Phascolarctobacterium_succinatutens	309.1895424014
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Treponema.s__Treponema_succinifaciens	168.1950398502
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Ruminococcus.s__Ruminococcus_bromii	107.6341923889
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Collinsella.s__Collinsella_aerofaciens	68.7807921901
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Erysipelotrichaceae_noname.s__Eubacterium_biforme	46.7002712721
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Eubacterium.s__Eubacterium_rectale	39.6332684188
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_5_1_63FAA	33.1557851383
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Blautia.s__Ruminococcus_torques	25.3881589324
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Anaerostipes.s__Anaerostipes_hadrus	18.6250212677
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Blautia.s__Ruminococcus_obeum	9.6704246827
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Dorea.s__Dorea_formicigenerans	9.5522686179
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Eubacterium.s__Eubacterium_ramulus	8.9107694389
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Coprococcus.s__Coprococcus_comes	8.0123006433
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Methanobrevibacter.s__Methanobrevibacter_smithii	6.4036389247
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Dorea.s__Dorea_longicatena	3.4629832898
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Desulfovibrio.s__Desulfovibrio_piger	3.3713668021
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Coprococcus.s__Coprococcus_catus	2.6525269892
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Roseburia.s__Roseburia_intestinalis	2.6220345296
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Eubacterium.s__Eubacterium_hallii	2.5502487045
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Ruminococcus.s__Ruminococcus_champanellensis	2.4747886070
