# Pathway	IT2_Abundance
UNMAPPED	3274008.3236788674
UNINTEGRATED	3340720.4471768113
UNINTEGRATED|g__Clostridium.s__Clostridium_clostridioforme	31913.6555622715
UNINTEGRATED|g__Clostridium.s__Clostridium_bolteae	27821.5140439210
UNINTEGRATED|g__Sutterella.s__Sutterella_wadsworthensis	1598.6308374336
UNINTEGRATED|g__Bacteroides.s__Bacteroides_caccae	8646.4509851053
UNINTEGRATED|g__Ruminococcus.s__Ruminococcus_sp_5_1_39BFAA	27796.7991131574
UNINTEGRATED|g__Bacteroides.s__Bacteroides_ovatus	10008.4110464234
UNINTEGRATED|g__Actinomyces.s__Actinomyces_turicensis	1213.4999938970
UNINTEGRATED|g__Bifidobacterium.s__Bifidobacterium_pseudocatenulatum	31303.9151276321
UNINTEGRATED|g__Bacteroides.s__Bacteroides_faecis	2726.2369353738
UNINTEGRATED|g__Bacteroides.s__Bacteroides_vulgatus	14789.8391556192
UNINTEGRATED|g__Clostridium.s__Clostridium_citroniae	5129.4832097001
UNINTEGRATED|g__Oxalobacter.s__Oxalobacter_formigenes	19363.4550889343
UNINTEGRATED|g__Roseburia.s__Roseburia_intestinalis	18812.7847816393
UNINTEGRATED|g__Pseudoflavonifractor.s__Pseudoflavonifractor_capillosus	14143.0313842189
UNINTEGRATED|g__Eubacterium.s__Eubacterium_eligens	1802.2386472617
UNINTEGRATED|g__Alistipes.s__Alistipes_shahii	3440.2785767311
UNINTEGRATED|g__Coprococcus.s__Coprococcus_comes	20527.8682057419
UNINTEGRATED|g__Ruminococcus.s__Ruminococcus_bromii	216532.5345866117
UNINTEGRATED|g__Clostridium.s__Clostridium_leptum	14479.3167011099
UNINTEGRATED|g__Roseburia.s__Roseburia_inulinivorans	36865.2453776220
UNINTEGRATED|g__Adlercreutzia.s__Adlercreutzia_equolifaciens	1144.4750156315
UNINTEGRATED|unclassified	503803.9094273740
UNINTEGRATED|g__Erysipelotrichaceae_noname.s__Erysipelotrichaceae_bacterium_6_1_45	7785.1822662911
UNINTEGRATED|g__Parabacteroides.s__Parabacteroides_distasonis	16356.5914509077
UNINTEGRATED|g__Desulfovibrio.s__Desulfovibrio_piger	7454.9823578139
UNINTEGRATED|g__Blautia.s__Ruminococcus_torques	61428.4557064608
UNINTEGRATED|g__Roseburia.s__Roseburia_hominis	24866.5062140216
UNINTEGRATED|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	195471.5520432123
UNINTEGRATED|g__Bifidobacterium.s__Bifidobacterium_adolescentis	181217.7498791130
UNINTEGRATED|g__Alistipes.s__Alistipes_onderdonkii	5023.7976350121
UNINTEGRATED|g__Streptococcus.s__Streptococcus_thermophilus	3370.5220030921
UNINTEGRATED|g__Anaerostipes.s__Anaerostipes_hadrus	7754.6173351019
UNINTEGRATED|g__Alistipes.s__Alistipes_putredinis	21117.2436626729
UNINTEGRATED|g__Paraprevotella.s__Paraprevotella_clara	3624.2351976133
UNINTEGRATED|g__Anaerotruncus.s__Anaerotruncus_colihominis	24100.3719971659
UNINTEGRATED|g__Eubacterium.s__Eubacterium_ramulus	10186.2005507388
UNINTEGRATED|g__Mitsuokella.s__Mitsuokella_multacida	2722.5808017957
UNINTEGRATED|g__Bifidobacterium.s__Bifidobacterium_catenulatum	381558.9640473378
UNINTEGRATED|g__Alistipes.s__Alistipes_finegoldii	1968.0452017281
UNINTEGRATED|g__Escherichia.s__Escherichia_coli	30978.3223402164
UNINTEGRATED|g__Enterococcus.s__Enterococcus_faecium	22778.1515171914
UNINTEGRATED|g__Bacteroides.s__Bacteroides_massiliensis	4367.4956604923
UNINTEGRATED|g__Coprococcus.s__Coprococcus_catus	24394.0894498434
UNINTEGRATED|g__Clostridium.s__Clostridium_symbiosum	5574.3777038004
UNINTEGRATED|g__Eubacterium.s__Eubacterium_rectale	55072.6008786688
UNINTEGRATED|g__Phascolarctobacterium.s__Phascolarctobacterium_succinatutens	20385.8355277928
UNINTEGRATED|g__Clostridium.s__Clostridium_methylpentosum	2876.2504203075
UNINTEGRATED|g__Eubacterium.s__Eubacterium_ventriosum	3102.9617000473
UNINTEGRATED|g__Dorea.s__Dorea_formicigenerans	31639.3054600034
UNINTEGRATED|g__Eubacterium.s__Eubacterium_siraeum	24625.4100121647
UNINTEGRATED|g__Barnesiella.s__Barnesiella_intestinihominis	2700.3137905825
UNINTEGRATED|g__Collinsella.s__Collinsella_aerofaciens	44440.5627724205
UNINTEGRATED|g__Ruminococcaceae_noname.s__Ruminococcaceae_bacterium_D16	16829.9499324333
UNINTEGRATED|g__Prevotella.s__Prevotella_copri	1217.2868127129
UNINTEGRATED|g__Bacteroides.s__Bacteroides_uniformis	49120.6366550395
