# Pathway	IT13_Abundance
UNMAPPED	848318.6531262711
UNINTEGRATED	799609.1219366450
UNINTEGRATED|g__Sutterella.s__Sutterella_wadsworthensis	3921.6260555601
UNINTEGRATED|g__Bacteroides.s__Bacteroides_dorei	8961.0879768474
UNINTEGRATED|g__Acidaminococcus.s__Acidaminococcus_fermentans	1806.9406255516
UNINTEGRATED|g__Bacteroides.s__Bacteroides_ovatus	10761.4036779726
UNINTEGRATED|g__Escherichia.s__Escherichia_coli	3010.6522093515
UNINTEGRATED|g__Peptostreptococcaceae_noname.s__Clostridium_bartlettii	3990.0834629088
UNINTEGRATED|g__Bacteroides.s__Bacteroides_faecis	3742.6299074309
UNINTEGRATED|g__Bacteroides.s__Bacteroides_vulgatus	36004.4792713093
UNINTEGRATED|g__Roseburia.s__Roseburia_intestinalis	19340.9439034471
UNINTEGRATED|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	68968.0452881764
UNINTEGRATED|g__Eubacterium.s__Eubacterium_eligens	2127.5313921182
UNINTEGRATED|g__Coprococcus.s__Coprococcus_sp_ART55_1	60906.1448684313
UNINTEGRATED|g__Roseburia.s__Roseburia_inulinivorans	23371.8040504152
UNINTEGRATED|g__Streptococcus.s__Streptococcus_salivarius	1543.9506410839
UNINTEGRATED|unclassified	121109.4797878023
UNINTEGRATED|g__Dorea.s__Dorea_formicigenerans	10909.9432165351
UNINTEGRATED|g__Parabacteroides.s__Parabacteroides_distasonis	4402.0591136098
UNINTEGRATED|g__Blautia.s__Ruminococcus_torques	12058.9673886265
UNINTEGRATED|g__Bifidobacterium.s__Bifidobacterium_adolescentis	10238.6305647024
UNINTEGRATED|g__Anaerostipes.s__Anaerostipes_hadrus	7020.8981738091
UNINTEGRATED|g__Streptococcus.s__Streptococcus_thermophilus	2888.1532240825
UNINTEGRATED|g__Alistipes.s__Alistipes_putredinis	3746.9179203287
UNINTEGRATED|g__Eubacterium.s__Eubacterium_ramulus	5746.1684590715
UNINTEGRATED|g__Mitsuokella.s__Mitsuokella_multacida	1286.6046753741
UNINTEGRATED|g__Erysipelotrichaceae_noname.s__Eubacterium_biforme	12409.0701206171
UNINTEGRATED|g__Coprococcus.s__Coprococcus_comes	6428.5331191594
UNINTEGRATED|g__Enterococcus.s__Enterococcus_faecium	4672.7565018301
UNINTEGRATED|g__Bacteroides.s__Bacteroides_massiliensis	6122.0057437559
UNINTEGRATED|g__Coprococcus.s__Coprococcus_catus	4099.3380936858
