# Pathway	IT14_Abundance
UNMAPPED	577160.0735897471
UNINTEGRATED	804512.7703501290
UNINTEGRATED|g__Bacteroides.s__Bacteroides_dorei	22514.6605411049
UNINTEGRATED|g__Ruminococcus.s__Ruminococcus_sp_5_1_39BFAA	12137.5861438774
UNINTEGRATED|g__Bacteroides.s__Bacteroides_ovatus	8178.0470069099
UNINTEGRATED|g__Peptostreptococcaceae_noname.s__Clostridium_bartlettii	1750.9351880058
UNINTEGRATED|g__Bacteroides.s__Bacteroides_vulgatus	58814.3070164965
UNINTEGRATED|g__Roseburia.s__Roseburia_intestinalis	28925.7485735544
UNINTEGRATED|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	193973.1659129702
UNINTEGRATED|g__Eubacterium.s__Eubacterium_eligens	881.6903858724
UNINTEGRATED|g__Alistipes.s__Alistipes_shahii	1787.6108824304
UNINTEGRATED|g__Roseburia.s__Roseburia_inulinivorans	12918.9333327351
UNINTEGRATED|g__Ruminococcus.s__Ruminococcus_bromii	18557.6052896789
UNINTEGRATED|g__Dialister.s__Dialister_invisus	13999.3640665319
UNINTEGRATED|g__Adlercreutzia.s__Adlercreutzia_equolifaciens	2062.8154076461
UNINTEGRATED|g__Eubacterium.s__Eubacterium_hallii	4831.4756402581
UNINTEGRATED|g__Blautia.s__Ruminococcus_torques	7516.7493458850
UNINTEGRATED|g__Roseburia.s__Roseburia_hominis	3346.4642038985
UNINTEGRATED|g__Bifidobacterium.s__Bifidobacterium_adolescentis	23670.4767141312
UNINTEGRATED|g__Anaerostipes.s__Anaerostipes_hadrus	9408.8040680916
UNINTEGRATED|g__Alistipes.s__Alistipes_putredinis	15281.6013690201
UNINTEGRATED|g__Bacteroides.s__Bacteroides_faecis	1621.7821941984
UNINTEGRATED|g__Eubacterium.s__Eubacterium_ramulus	4480.5992127492
UNINTEGRATED|g__Coprococcus.s__Coprococcus_comes	12160.2307575486
UNINTEGRATED|g__Bacteroides.s__Bacteroides_massiliensis	5647.4187657788
UNINTEGRATED|g__Coprococcus.s__Coprococcus_catus	1787.4905626023
UNINTEGRATED|g__Eubacterium.s__Eubacterium_rectale	32189.2766083194
UNINTEGRATED|g__Gordonibacter.s__Gordonibacter_pamelaeae	591.0802454569
UNINTEGRATED|g__Eubacterium.s__Eubacterium_ventriosum	3147.9645548081
UNINTEGRATED|g__Eubacterium.s__Eubacterium_siraeum	18187.4097395851
UNINTEGRATED|g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_1_1_57FAA	2987.6055340407
UNINTEGRATED|g__Collinsella.s__Collinsella_aerofaciens	16894.4967418723
UNINTEGRATED|g__Bacteroides.s__Bacteroides_uniformis	17869.8636135321
UNINTEGRATED|g__Bifidobacterium.s__Bifidobacterium_longum	21400.4870449227
UNINTEGRATED|g__Alistipes.s__Alistipes_finegoldii	1300.7298011106
UNINTEGRATED|g__Ruminococcus.s__Ruminococcus_callidus	18882.0274511232
UNINTEGRATED|g__Bacteroides.s__Bacteroides_caccae	1959.0060053041
UNINTEGRATED|unclassified	74469.8926429877
UNINTEGRATED|g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_5_1_63FAA	2228.5765337932
UNINTEGRATED|g__Dorea.s__Dorea_longicatena	4421.9733710879
UNINTEGRATED|g__Blautia.s__Ruminococcus_obeum	8068.9899266314
UNINTEGRATED|g__Bifidobacterium.s__Bifidobacterium_bifidum	7661.5718226785
UNINTEGRATED|g__Dorea.s__Dorea_formicigenerans	3801.0720315076
UNINTEGRATED|g__Parabacteroides.s__Parabacteroides_merdae	8346.5538289682
UNINTEGRATED|g__Bacteroides.s__Bacteroides_eggerthii	4065.7579502046
PWY-7219: adenosine ribonucleotides de novo biosynthesis	1115.0933355764
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	261.4589638726
PWY-7219: adenosine ribonucleotides de novo biosynthesis|unclassified	170.4263094265
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Bacteroides.s__Bacteroides_vulgatus	63.3330344401
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Bifidobacterium.s__Bifidobacterium_adolescentis	63.2103409227
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Collinsella.s__Collinsella_aerofaciens	54.5112383185
