# Pathway	H25_Abundance
UNMAPPED	2118362.5972785200
UNINTEGRATED	736782.6718853260
UNINTEGRATED|g__Prevotella.s__Prevotella_stercorea	4548.0310762267
UNINTEGRATED|g__Escherichia.s__Escherichia_coli	72696.1619718141
UNINTEGRATED|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	194319.3952952127
UNINTEGRATED|g__Catenibacterium.s__Catenibacterium_mitsuokai	1067.0257623416
UNINTEGRATED|g__Coprococcus.s__Coprococcus_comes	2547.3799053505
UNINTEGRATED|unclassified	253509.1047506288
UNINTEGRATED|g__Blautia.s__Ruminococcus_torques	6749.0159256232
UNINTEGRATED|g__Helicobacter.s__Helicobacter_pylori	12728.8636330809
UNINTEGRATED|g__Eubacterium.s__Eubacterium_ramulus	8252.3169811937
UNINTEGRATED|g__Erysipelotrichaceae_noname.s__Eubacterium_biforme	1296.6829321018
UNINTEGRATED|g__Coprococcus.s__Coprococcus_catus	1362.5710248289
UNINTEGRATED|g__Eubacterium.s__Eubacterium_rectale	3448.2812348024
UNINTEGRATED|g__Phascolarctobacterium.s__Phascolarctobacterium_succinatutens	46633.9960213964
UNINTEGRATED|g__Treponema.s__Treponema_succinifaciens	2216.7558906320
UNINTEGRATED|g__Eubacterium.s__Eubacterium_siraeum	8824.2782486671
UNINTEGRATED|g__Collinsella.s__Collinsella_aerofaciens	13263.7093721358
UNINTEGRATED|g__Prevotella.s__Prevotella_copri	13275.8059792929
UNINTEGRATED|g__Ruminococcus.s__Ruminococcus_champanellensis	2524.4835564427
UNINTEGRATED|g__Methanobrevibacter.s__Methanobrevibacter_smithii	992.7865058211
UNINTEGRATED|g__Eubacterium.s__Eubacterium_hallii	2274.4101038050
UNINTEGRATED|g__Desulfovibrio.s__Desulfovibrio_piger	2131.1578617503
UNINTEGRATED|g__Blautia.s__Ruminococcus_obeum	15950.2342311193
UNINTEGRATED|g__Dorea.s__Dorea_formicigenerans	12584.0843949113
PWY-7219: adenosine ribonucleotides de novo biosynthesis	1410.1206904546
PWY-7219: adenosine ribonucleotides de novo biosynthesis|unclassified	810.6570430758
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	290.7724788055
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Phascolarctobacterium.s__Phascolarctobacterium_succinatutens	108.8480942138
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Prevotella.s__Prevotella_copri	55.4414558716
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Collinsella.s__Collinsella_aerofaciens	42.6629103475
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Escherichia.s__Escherichia_coli	25.9572104179
