# Pathway	IT5_Abundance
UNMAPPED	3734555.9218715648
UNINTEGRATED	8261286.4845347432
UNINTEGRATED|g__Clostridium.s__Clostridium_bolteae	27970.9253245954
UNINTEGRATED|g__Sutterella.s__Sutterella_wadsworthensis	54453.6148432868
UNINTEGRATED|g__Bacteroides.s__Bacteroides_dorei	163660.0144839206
UNINTEGRATED|g__Ruminococcus.s__Ruminococcus_sp_5_1_39BFAA	220033.0452290648
UNINTEGRATED|g__Bacteroides.s__Bacteroides_ovatus	177939.9647137707
UNINTEGRATED|g__Escherichia.s__Escherichia_coli	26991.8116428984
UNINTEGRATED|g__Bifidobacterium.s__Bifidobacterium_pseudocatenulatum	6445.8616052572
UNINTEGRATED|g__Odoribacter.s__Odoribacter_splanchnicus	30690.4802571169
UNINTEGRATED|g__Bacteroides.s__Bacteroides_faecis	89773.3589419457
UNINTEGRATED|g__Bacteroides.s__Bacteroides_vulgatus	1064866.7369533407
UNINTEGRATED|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	333326.4073293707
UNINTEGRATED|g__Blautia.s__Ruminococcus_obeum	60348.3710010684
UNINTEGRATED|g__Bacteroides.s__Bacteroides_coprophilus	135617.0739140635
UNINTEGRATED|g__Clostridium.s__Clostridium_citroniae	11419.1547745339
UNINTEGRATED|g__Acidaminococcus.s__Acidaminococcus_intestini	131490.1510207851
UNINTEGRATED|g__Alistipes.s__Alistipes_shahii	11787.1411338669
UNINTEGRATED|g__Roseburia.s__Roseburia_inulinivorans	231116.9917778417
UNINTEGRATED|g__Blautia.s__Ruminococcus_gnavus	49317.6269789102
UNINTEGRATED|g__Bacteroides.s__Bacteroides_caccae	79164.2125940623
UNINTEGRATED|g__Streptococcus.s__Streptococcus_salivarius	12102.9243829374
UNINTEGRATED|unclassified	553298.7284709833
UNINTEGRATED|g__Dorea.s__Dorea_formicigenerans	80080.3750166602
UNINTEGRATED|g__Parabacteroides.s__Parabacteroides_distasonis	148103.0262559053
UNINTEGRATED|g__Blautia.s__Ruminococcus_torques	186454.5287729320
UNINTEGRATED|g__Roseburia.s__Roseburia_hominis	25679.8632919392
