# Pathway	IT7_Abundance
UNMAPPED	1073155.1874968871
UNINTEGRATED	1179887.7705171946
UNINTEGRATED|g__Bacteroides.s__Bacteroides_dorei	9992.9689902053
UNINTEGRATED|g__Ruminococcus.s__Ruminococcus_sp_5_1_39BFAA	24081.1291780711
UNINTEGRATED|g__Bacteroides.s__Bacteroides_ovatus	9469.9603671925
UNINTEGRATED|g__Peptostreptococcaceae_noname.s__Clostridium_bartlettii	2497.3421459912
UNINTEGRATED|g__Anaeroglobus.s__Anaeroglobus_geminatus	722.2255166296
UNINTEGRATED|g__Bacteroides.s__Bacteroides_vulgatus	9156.5824829634
UNINTEGRATED|g__Roseburia.s__Roseburia_intestinalis	31352.0841784807
UNINTEGRATED|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	432637.3837339116
UNINTEGRATED|g__Eubacterium.s__Eubacterium_eligens	4557.0593304927
UNINTEGRATED|g__Ruminococcus.s__Ruminococcus_bromii	6389.4336375954
UNINTEGRATED|g__Clostridium.s__Clostridium_leptum	3113.4578460859
UNINTEGRATED|g__Roseburia.s__Roseburia_inulinivorans	11312.1574693571
UNINTEGRATED|g__Adlercreutzia.s__Adlercreutzia_equolifaciens	865.1033280573
UNINTEGRATED|unclassified	157006.9677178682
UNINTEGRATED|g__Blautia.s__Ruminococcus_torques	8037.3711182377
UNINTEGRATED|g__Roseburia.s__Roseburia_hominis	6822.1154843854
UNINTEGRATED|g__Bifidobacterium.s__Bifidobacterium_adolescentis	27923.9963297988
UNINTEGRATED|g__Alistipes.s__Alistipes_onderdonkii	2592.5910609548
UNINTEGRATED|g__Streptococcus.s__Streptococcus_thermophilus	10082.2148954232
UNINTEGRATED|g__Alistipes.s__Alistipes_putredinis	10011.4720177980
UNINTEGRATED|g__Eubacterium.s__Eubacterium_ramulus	8601.1918388787
UNINTEGRATED|g__Atopobium.s__Atopobium_rimae	260.0766004483
UNINTEGRATED|g__Streptococcus.s__Streptococcus_parasanguinis	320.1344997695
UNINTEGRATED|g__Coprococcus.s__Coprococcus_comes	6322.5802873782
UNINTEGRATED|g__Clostridiales_noname.s__Bacteroides_pectinophilus	9111.3113608016
UNINTEGRATED|g__Bacteroides.s__Bacteroides_massiliensis	2349.0951833843
UNINTEGRATED|g__Coprococcus.s__Coprococcus_catus	7480.6373450728
UNINTEGRATED|g__Streptococcus.s__Streptococcus_salivarius	3590.7285468326
UNINTEGRATED|g__Haemophilus.s__Haemophilus_parainfluenzae	726.9515476463
UNINTEGRATED|g__Eubacterium.s__Eubacterium_rectale	31737.7865994876
UNINTEGRATED|g__Dialister.s__Dialister_invisus	36547.5537646623
UNINTEGRATED|g__Bacteroides.s__Bacteroides_finegoldii	3229.9489994433
UNINTEGRATED|g__Eubacterium.s__Eubacterium_ventriosum	7133.8058573400
UNINTEGRATED|g__Dorea.s__Dorea_formicigenerans	14725.7741345920
UNINTEGRATED|g__Eubacterium.s__Eubacterium_siraeum	44816.5182970546
UNINTEGRATED|g__Collinsella.s__Collinsella_aerofaciens	4479.7565010131
