# Pathway	H27_Abundance
UNMAPPED	1739680.2231962222
UNINTEGRATED	426103.5730554792
UNINTEGRATED|unclassified	224400.1927837201
UNINTEGRATED|g__Prevotella.s__Prevotella_stercorea	14407.4131240101
UNINTEGRATED|g__Eubacterium.s__Eubacterium_rectale	5644.8899256955
UNINTEGRATED|g__Ruminococcus.s__Ruminococcus_champanellensis	32907.8034465324
UNINTEGRATED|g__Phascolarctobacterium.s__Phascolarctobacterium_succinatutens	21830.1542259555
UNINTEGRATED|g__Escherichia.s__Escherichia_coli	9446.9872704050
UNINTEGRATED|g__Methanobrevibacter.s__Methanobrevibacter_smithii	1424.5200867340
UNINTEGRATED|g__Treponema.s__Treponema_succinifaciens	7034.9382779514
UNINTEGRATED|g__Eubacterium.s__Eubacterium_hallii	768.3494727882
UNINTEGRATED|g__Desulfovibrio.s__Desulfovibrio_piger	1982.7664214454
UNINTEGRATED|g__Collinsella.s__Collinsella_aerofaciens	3069.7782438187
UNINTEGRATED|g__Blautia.s__Ruminococcus_obeum	8901.7058541598
UNINTEGRATED|g__Roseburia.s__Roseburia_intestinalis	6178.4841724723
UNINTEGRATED|g__Prevotella.s__Prevotella_copri	19109.7380536880
UNINTEGRATED|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	60601.6656352513
UNINTEGRATED|g__Erysipelotrichaceae_noname.s__Eubacterium_biforme	552.0865855602
UNINTEGRATED|g__Ruminococcus.s__Ruminococcus_bromii	3042.2637424853
PWY-7219: adenosine ribonucleotides de novo biosynthesis	1133.9463513463
PWY-7219: adenosine ribonucleotides de novo biosynthesis|unclassified	820.5471477304
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Ruminococcus.s__Ruminococcus_champanellensis	89.1659783688
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	78.2311098592
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Phascolarctobacterium.s__Phascolarctobacterium_succinatutens	62.3247683286
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Prevotella.s__Prevotella_copri	43.9958969026
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Treponema.s__Treponema_succinifaciens	14.1759316275
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Collinsella.s__Collinsella_aerofaciens	13.2905205010
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Prevotella.s__Prevotella_stercorea	9.1917725646
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Eubacterium.s__Eubacterium_rectale	5.6900954841
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Roseburia.s__Roseburia_intestinalis	5.0691208589
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Methanobrevibacter.s__Methanobrevibacter_smithii	2.9854258719
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Escherichia.s__Escherichia_coli	1.3413600525
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Blautia.s__Ruminococcus_obeum	1.3176991384
