# Pathway	IT6_Abundance
UNMAPPED	6428215.6487011611
UNINTEGRATED	9240363.7020270489
UNINTEGRATED|g__Bilophila.s__Bilophila_wadsworthia	60377.8429458368
UNINTEGRATED|g__Bacteroides.s__Bacteroides_caccae	43908.9783252069
UNINTEGRATED|g__Ruminococcus.s__Ruminococcus_sp_5_1_39BFAA	218900.3625864855
UNINTEGRATED|g__Bacteroides.s__Bacteroides_ovatus	191835.2003585067
UNINTEGRATED|g__Escherichia.s__Escherichia_coli	169121.7380048318
UNINTEGRATED|g__Odoribacter.s__Odoribacter_splanchnicus	34452.6988459524
UNINTEGRATED|g__Bacteroides.s__Bacteroides_vulgatus	494143.3946625178
UNINTEGRATED|g__Eubacterium.s__Eubacterium_ventriosum	10838.7079675975
UNINTEGRATED|g__Roseburia.s__Roseburia_intestinalis	244128.4179539993
UNINTEGRATED|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	1602602.3530430279
UNINTEGRATED|g__Eubacterium.s__Eubacterium_eligens	13550.7865422869
UNINTEGRATED|g__Alistipes.s__Alistipes_shahii	25088.2927512111
UNINTEGRATED|g__Coprococcus.s__Coprococcus_comes	152206.3916406966
UNINTEGRATED|g__Clostridium.s__Clostridium_leptum	42236.4720221703
UNINTEGRATED|g__Roseburia.s__Roseburia_inulinivorans	234806.0248658967
UNINTEGRATED|g__Streptococcus.s__Streptococcus_salivarius	16318.2710137109
UNINTEGRATED|unclassified	1727939.5019141864
UNINTEGRATED|g__Blautia.s__Ruminococcus_torques	164228.1893156144
UNINTEGRATED|g__Roseburia.s__Roseburia_hominis	55426.2232519163
UNINTEGRATED|g__Clostridium.s__Clostridium_clostridioforme	103243.6125769953
UNINTEGRATED|g__Anaerostipes.s__Anaerostipes_hadrus	90068.7206556195
UNINTEGRATED|g__Alistipes.s__Alistipes_indistinctus	2815.6698108049
UNINTEGRATED|g__Alistipes.s__Alistipes_putredinis	169790.0000797601
UNINTEGRATED|g__Streptococcus.s__Streptococcus_australis	1186.1906256822
UNINTEGRATED|g__Blautia.s__Ruminococcus_gnavus	48339.3632890573
UNINTEGRATED|g__Eubacterium.s__Eubacterium_ramulus	119985.9407903218
UNINTEGRATED|g__Bacteroides.s__Bacteroides_coprocola	302482.5921667351
UNINTEGRATED|g__Streptococcus.s__Streptococcus_parasanguinis	4245.3161065593
UNINTEGRATED|g__Alistipes.s__Alistipes_finegoldii	86995.7042368963
UNINTEGRATED|g__Bacteroides.s__Bacteroides_massiliensis	282756.5708500716
UNINTEGRATED|g__Coprococcus.s__Coprococcus_catus	28090.6338625479
UNINTEGRATED|g__Adlercreutzia.s__Adlercreutzia_equolifaciens	879.3347471281
UNINTEGRATED|g__Haemophilus.s__Haemophilus_parainfluenzae	1748.0621749908
UNINTEGRATED|g__Rothia.s__Rothia_mucilaginosa	497.9559403704
UNINTEGRATED|g__Bacteroides.s__Bacteroides_finegoldii	72526.6092170029
UNINTEGRATED|g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_3_1_46FAA	69193.5103192708
UNINTEGRATED|g__Actinomyces.s__Actinomyces_odontolyticus	2254.7308306096
UNINTEGRATED|g__Bacteroides.s__Bacteroides_thetaiotaomicron	13507.3959814077
UNINTEGRATED|g__Barnesiella.s__Barnesiella_intestinihominis	78931.8311604255
UNINTEGRATED|g__Collinsella.s__Collinsella_aerofaciens	27672.5605955002
UNINTEGRATED|g__Ruminococcaceae_noname.s__Ruminococcaceae_bacterium_D16	51485.2962389106
UNINTEGRATED|g__Erysipelotrichaceae_noname.s__Eubacterium_cylindroides	9367.3800592245
UNINTEGRATED|g__Bacteroides.s__Bacteroides_uniformis	316936.3584007713
UNINTEGRATED|g__Bifidobacterium.s__Bifidobacterium_longum	24234.9300162063
UNINTEGRATED|g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_2_1_58FAA	16015.8887989265
UNINTEGRATED|g__Alistipes.s__Alistipes_senegalensis	5000.3394187973
UNINTEGRATED|g__Methanobrevibacter.s__Methanobrevibacter_smithii	1239.3281706809
