# Pathway	H21_Abundance
UNMAPPED	4750592.3394310595
UNINTEGRATED	1647339.0414215317
UNINTEGRATED|g__Prevotella.s__Prevotella_stercorea	87662.2099645293
UNINTEGRATED|g__Roseburia.s__Roseburia_inulinivorans	16577.1148422412
UNINTEGRATED|g__Escherichia.s__Escherichia_coli	64922.0902669877
UNINTEGRATED|g__Ruminococcus.s__Ruminococcus_lactaris	15028.7307729560
UNINTEGRATED|g__Catenibacterium.s__Catenibacterium_mitsuokai	698.3705934389
UNINTEGRATED|g__Roseburia.s__Roseburia_intestinalis	12087.7161060214
UNINTEGRATED|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	262137.1161469191
UNINTEGRATED|g__Eubacterium.s__Eubacterium_eligens	835.9960185519
UNINTEGRATED|g__Ruminococcus.s__Ruminococcus_bromii	4086.9371570125
UNINTEGRATED|g__Coprococcus.s__Coprococcus_comes	15695.2063875960
UNINTEGRATED|g__Streptococcus.s__Streptococcus_salivarius	5782.6258818791
UNINTEGRATED|unclassified	749264.0203115442
UNINTEGRATED|g__Blautia.s__Ruminococcus_torques	28938.7866081440
UNINTEGRATED|g__Roseburia.s__Roseburia_hominis	4833.0216519850
UNINTEGRATED|g__Alistipes.s__Alistipes_putredinis	1577.7521060237
UNINTEGRATED|g__Eubacterium.s__Eubacterium_ramulus	7868.9347014933
UNINTEGRATED|g__Erysipelotrichaceae_noname.s__Eubacterium_biforme	10273.3761910703
UNINTEGRATED|g__Coprococcus.s__Coprococcus_catus	8121.1267989085
UNINTEGRATED|g__Haemophilus.s__Haemophilus_parainfluenzae	475.9553220333
UNINTEGRATED|g__Eubacterium.s__Eubacterium_rectale	9102.2453767939
UNINTEGRATED|g__Phascolarctobacterium.s__Phascolarctobacterium_succinatutens	34084.8798044762
UNINTEGRATED|g__Treponema.s__Treponema_succinifaciens	5883.5134346705
UNINTEGRATED|g__Eubacterium.s__Eubacterium_siraeum	14360.5522638049
UNINTEGRATED|g__Collinsella.s__Collinsella_aerofaciens	6595.5413918013
UNINTEGRATED|g__Prevotella.s__Prevotella_copri	114994.8455355492
UNINTEGRATED|g__Bacteroides.s__Bacteroides_uniformis	62319.4887161183
UNINTEGRATED|g__Bacteroides.s__Bacteroides_vulgatus	14126.3136713768
UNINTEGRATED|g__Brachyspira.s__Brachyspira_pilosicoli	885.3171190341
UNINTEGRATED|g__Ruminococcus.s__Ruminococcus_champanellensis	3683.7088408786
