# Pathway	H6_Abundance
UNMAPPED	1767227.6207394404
UNINTEGRATED	979749.3335803453
UNINTEGRATED|g__Prevotella.s__Prevotella_stercorea	178442.1876556614
UNINTEGRATED|g__Roseburia.s__Roseburia_inulinivorans	6157.4945849803
UNINTEGRATED|g__Escherichia.s__Escherichia_coli	19188.4074558527
UNINTEGRATED|g__Butyrivibrio.s__Butyrivibrio_crossotus	3181.3787006915
UNINTEGRATED|g__Peptostreptococcaceae_noname.s__Clostridium_bartlettii	1103.3537218357
UNINTEGRATED|g__Bacteroides.s__Bacteroides_vulgatus	25851.8858217830
UNINTEGRATED|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	44733.7541645357
UNINTEGRATED|g__Roseburia.s__Roseburia_intestinalis	5807.4052427234
UNINTEGRATED|g__Catenibacterium.s__Catenibacterium_mitsuokai	13989.6285319416
UNINTEGRATED|g__Eubacterium.s__Eubacterium_eligens	997.5015051818
UNINTEGRATED|g__Lactobacillus.s__Lactobacillus_ruminis	681.4962619910
UNINTEGRATED|g__Coprococcus.s__Coprococcus_comes	6283.8447105587
UNINTEGRATED|g__Streptococcus.s__Streptococcus_salivarius	3985.8491076536
UNINTEGRATED|g__Eubacterium.s__Eubacterium_hallii	2077.7155725613
UNINTEGRATED|g__Blautia.s__Ruminococcus_torques	9383.2599128165
UNINTEGRATED|g__Roseburia.s__Roseburia_hominis	2168.0661737182
UNINTEGRATED|g__Streptococcus.s__Streptococcus_australis	433.6509122002
UNINTEGRATED|g__Eubacterium.s__Eubacterium_ramulus	6941.6216981354
UNINTEGRATED|g__Mitsuokella.s__Mitsuokella_multacida	2794.5698931311
UNINTEGRATED|g__Erysipelotrichaceae_noname.s__Eubacterium_biforme	15742.7596828760
UNINTEGRATED|g__Enterobacter.s__Enterobacter_cloacae	4977.5854642868
UNINTEGRATED|g__Blautia.s__Ruminococcus_obeum	4163.0496055926
UNINTEGRATED|g__Coprococcus.s__Coprococcus_catus	1669.0717662630
UNINTEGRATED|g__Haemophilus.s__Haemophilus_parainfluenzae	465.7491063412
UNINTEGRATED|g__Eubacterium.s__Eubacterium_rectale	85027.3519704552
UNINTEGRATED|g__Phascolarctobacterium.s__Phascolarctobacterium_succinatutens	17738.6262436594
UNINTEGRATED|g__Streptococcus.s__Streptococcus_infantarius	2633.5487020460
UNINTEGRATED|g__Streptococcus.s__Streptococcus_parasanguinis	1664.0146510842
UNINTEGRATED|g__Clostridium.s__Clostridium_perfringens	972.1847946569
UNINTEGRATED|g__Citrobacter.s__Citrobacter_freundii	1306.6784023211
UNINTEGRATED|unclassified	333254.1321170943
UNINTEGRATED|g__Dorea.s__Dorea_longicatena	2071.2032127577
UNINTEGRATED|g__Streptococcus.s__Streptococcus_lutetiensis	860.5741190375
UNINTEGRATED|g__Dorea.s__Dorea_formicigenerans	6842.9212181819
UNINTEGRATED|g__Collinsella.s__Collinsella_aerofaciens	1502.7350765690
UNINTEGRATED|g__Prevotella.s__Prevotella_copri	203180.2946193968
PWY-7219: adenosine ribonucleotides de novo biosynthesis	2293.9737534425
PWY-7219: adenosine ribonucleotides de novo biosynthesis|unclassified	943.1685405858
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Prevotella.s__Prevotella_copri	508.5399478392
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Prevotella.s__Prevotella_stercorea	279.4309594749
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Eubacterium.s__Eubacterium_rectale	165.9685509520
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Phascolarctobacterium.s__Phascolarctobacterium_succinatutens	63.0104062441
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	56.0440239841
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Erysipelotrichaceae_noname.s__Eubacterium_biforme	36.5711643449
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Catenibacterium.s__Catenibacterium_mitsuokai	31.0464902240
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Roseburia.s__Roseburia_inulinivorans	12.3398656756
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Blautia.s__Ruminococcus_torques	12.1373589739
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Roseburia.s__Roseburia_hominis	7.2147917104
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Streptococcus.s__Streptococcus_infantarius	5.8908861222
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Streptococcus.s__Streptococcus_salivarius	5.7970182858
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Streptococcus.s__Streptococcus_parasanguinis	5.5665302332
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Collinsella.s__Collinsella_aerofaciens	5.0609690692
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Eubacterium.s__Eubacterium_ramulus	4.7865854358
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Dorea.s__Dorea_formicigenerans	3.4589590213
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Escherichia.s__Escherichia_coli	3.4114328252
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Dorea.s__Dorea_longicatena	3.1940592142
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Eubacterium.s__Eubacterium_hallii	3.0380399063
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Butyrivibrio.s__Butyrivibrio_crossotus	2.9410322379
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Coprococcus.s__Coprococcus_comes	2.8795210691
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Enterobacter.s__Enterobacter_cloacae	2.7932187071
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Coprococcus.s__Coprococcus_catus	2.2100123148
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Blautia.s__Ruminococcus_obeum	1.3618580638
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Streptococcus.s__Streptococcus_lutetiensis	1.3562159851
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Mitsuokella.s__Mitsuokella_multacida	1.3408724552
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Roseburia.s__Roseburia_intestinalis	1.2519445626
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Streptococcus.s__Streptococcus_australis	1.0976486231
DTDPRHAMSYN-PWY: dTDP-L-rhamnose biosynthesis I	1611.8765690226
DTDPRHAMSYN-PWY: dTDP-L-rhamnose biosynthesis I|unclassified	720.1575851076
DTDPRHAMSYN-PWY: dTDP-L-rhamnose biosynthesis I|g__Eubacterium.s__Eubacterium_rectale	166.7040900790
DTDPRHAMSYN-PWY: dTDP-L-rhamnose biosynthesis I|g__Prevotella.s__Prevotella_copri	161.3223889618
DTDPRHAMSYN-PWY: dTDP-L-rhamnose biosynthesis I|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	56.5911097176
DTDPRHAMSYN-PWY: dTDP-L-rhamnose biosynthesis I|g__Erysipelotrichaceae_noname.s__Eubacterium_biforme	25.4721548643
