# Pathway	IT11_Abundance
UNMAPPED	1185243.6432397738
UNINTEGRATED	1875807.8495828754
UNINTEGRATED|g__Coprococcus.s__Coprococcus_sp_ART55_1	209443.3004015404
UNINTEGRATED|g__Roseburia.s__Roseburia_inulinivorans	25600.8546363191
UNINTEGRATED|g__Ruminococcus.s__Ruminococcus_sp_5_1_39BFAA	47817.9510443770
UNINTEGRATED|g__Bifidobacterium.s__Bifidobacterium_pseudocatenulatum	3715.7424130048
UNINTEGRATED|g__Ruminococcus.s__Ruminococcus_lactaris	16158.5253324040
UNINTEGRATED|g__Roseburia.s__Roseburia_intestinalis	61098.5258120598
UNINTEGRATED|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	409511.4085852553
UNINTEGRATED|g__Eubacterium.s__Eubacterium_eligens	5118.3293937389
UNINTEGRATED|g__Ruminococcus.s__Ruminococcus_bromii	64498.3350302636
UNINTEGRATED|g__Clostridium.s__Clostridium_leptum	9925.0807483622
UNINTEGRATED|g__Coprococcus.s__Coprococcus_comes	34684.2371499583
UNINTEGRATED|g__Eubacterium.s__Eubacterium_hallii	21998.9407991206
UNINTEGRATED|g__Blautia.s__Ruminococcus_torques	49882.5048081013
UNINTEGRATED|g__Roseburia.s__Roseburia_hominis	13953.2147617255
UNINTEGRATED|g__Bifidobacterium.s__Bifidobacterium_adolescentis	44148.2393787961
UNINTEGRATED|g__Anaerostipes.s__Anaerostipes_hadrus	11662.8196305423
UNINTEGRATED|g__Alistipes.s__Alistipes_putredinis	7721.1994687869
UNINTEGRATED|g__Eubacterium.s__Eubacterium_ramulus	15905.9142362903
UNINTEGRATED|g__Mitsuokella.s__Mitsuokella_multacida	2898.6485753539
UNINTEGRATED|g__Erysipelotrichaceae_noname.s__Eubacterium_biforme	8372.8038816123
UNINTEGRATED|g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_1_1_57FAA	18013.6713480316
UNINTEGRATED|g__Coprococcus.s__Coprococcus_catus	12271.9057047548
UNINTEGRATED|g__Eubacterium.s__Eubacterium_rectale	445845.0638294283
