# Pathway	IT1_Abundance
UNMAPPED	531348.5060426166
UNINTEGRATED	916530.6433405909
UNINTEGRATED|g__Coprococcus.s__Coprococcus_sp_ART55_1	10810.5662100206
UNINTEGRATED|g__Bacteroides.s__Bacteroides_caccae	21530.3513066042
UNINTEGRATED|g__Bacteroides.s__Bacteroides_ovatus	24359.6573491239
UNINTEGRATED|g__Escherichia.s__Escherichia_coli	14130.8362854420
UNINTEGRATED|g__Bacteroides.s__Bacteroides_vulgatus	76832.4739110155
UNINTEGRATED|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	198401.3004128119
UNINTEGRATED|g__Roseburia.s__Roseburia_inulinivorans	26673.8927627296
UNINTEGRATED|g__Ruminococcus.s__Ruminococcus_bromii	3970.9749677474
UNINTEGRATED|g__Blautia.s__Ruminococcus_gnavus	3873.5885683227
UNINTEGRATED|g__Coprococcus.s__Coprococcus_comes	10843.4470388695
UNINTEGRATED|g__Streptococcus.s__Streptococcus_salivarius	6251.3907831102
UNINTEGRATED|unclassified	81409.7586166246
UNINTEGRATED|g__Dorea.s__Dorea_formicigenerans	9056.0913796510
UNINTEGRATED|g__Parabacteroides.s__Parabacteroides_distasonis	8434.0273641622
UNINTEGRATED|g__Blautia.s__Ruminococcus_torques	7697.9471470826
UNINTEGRATED|g__Roseburia.s__Roseburia_hominis	5531.7442251304
UNINTEGRATED|g__Bifidobacterium.s__Bifidobacterium_adolescentis	20857.9431246666
UNINTEGRATED|g__Anaerostipes.s__Anaerostipes_hadrus	11712.0361860252
UNINTEGRATED|g__Streptococcus.s__Streptococcus_thermophilus	3490.9865270344
UNINTEGRATED|g__Paraprevotella.s__Paraprevotella_clara	7899.8184309890
UNINTEGRATED|g__Clostridium.s__Clostridium_leptum	7817.6334880075
UNINTEGRATED|g__Eubacterium.s__Eubacterium_ramulus	8510.2887418627
UNINTEGRATED|g__Bacteroides.s__Bacteroides_coprocola	83164.3782212154
UNINTEGRATED|g__Streptococcus.s__Streptococcus_parasanguinis	1143.7867394741
UNINTEGRATED|g__Bacteroides.s__Bacteroides_massiliensis	6534.8006431683
UNINTEGRATED|g__Coprococcus.s__Coprococcus_catus	4617.2189371763
