# Pathway	H15_Abundance
UNMAPPED	3693130.6755726533
UNINTEGRATED	1223900.6494868598
UNINTEGRATED|g__Prevotella.s__Prevotella_stercorea	11891.2419645374
UNINTEGRATED|g__Roseburia.s__Roseburia_inulinivorans	21183.1493915692
UNINTEGRATED|g__Escherichia.s__Escherichia_coli	38098.9518512577
UNINTEGRATED|g__Butyrivibrio.s__Butyrivibrio_crossotus	4913.4823321728
UNINTEGRATED|g__Peptostreptococcaceae_noname.s__Clostridium_bartlettii	2366.5759704161
UNINTEGRATED|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	111828.0812683278
UNINTEGRATED|g__Roseburia.s__Roseburia_intestinalis	15349.3891249916
UNINTEGRATED|g__Eubacterium.s__Eubacterium_eligens	1005.0457565096
UNINTEGRATED|g__Catenibacterium.s__Catenibacterium_mitsuokai	973.3956894080
UNINTEGRATED|g__Coprococcus.s__Coprococcus_eutactus	7354.2208563066
UNINTEGRATED|g__Ruminococcus.s__Ruminococcus_bromii	6811.1624337769
UNINTEGRATED|g__Coprococcus.s__Coprococcus_comes	6886.1034059449
UNINTEGRATED|g__Eubacterium.s__Eubacterium_hallii	2038.5577807130
UNINTEGRATED|g__Blautia.s__Ruminococcus_torques	12214.6342365919
UNINTEGRATED|g__Roseburia.s__Roseburia_hominis	10049.9670848001
UNINTEGRATED|g__Eubacterium.s__Eubacterium_ramulus	3591.3134274085
UNINTEGRATED|g__Erysipelotrichaceae_noname.s__Eubacterium_biforme	6491.9677245998
UNINTEGRATED|g__Enterobacter.s__Enterobacter_cloacae	824.8720835272
UNINTEGRATED|g__Coprococcus.s__Coprococcus_catus	4893.1332684393
UNINTEGRATED|g__Haemophilus.s__Haemophilus_parainfluenzae	483.7960938426
UNINTEGRATED|g__Eubacterium.s__Eubacterium_rectale	53045.3427875212
UNINTEGRATED|g__Phascolarctobacterium.s__Phascolarctobacterium_succinatutens	50756.7175072976
UNINTEGRATED|g__Treponema.s__Treponema_succinifaciens	13223.0444288751
UNINTEGRATED|g__Eubacterium.s__Eubacterium_ventriosum	7708.9336129144
UNINTEGRATED|g__Eubacterium.s__Eubacterium_siraeum	7090.2555022121
UNINTEGRATED|g__Collinsella.s__Collinsella_aerofaciens	1222.6036349298
UNINTEGRATED|g__Prevotella.s__Prevotella_copri	112431.6152113337
UNINTEGRATED|g__Ruminococcus.s__Ruminococcus_flavefaciens	0.0000000000
UNINTEGRATED|g__Ruminococcus.s__Ruminococcus_callidus	3551.2255298420
UNINTEGRATED|g__Ruminococcus.s__Ruminococcus_champanellensis	49581.4191330653
UNINTEGRATED|g__Methanobrevibacter.s__Methanobrevibacter_smithii	4418.9553250493
UNINTEGRATED|unclassified	548802.8497075277
UNINTEGRATED|g__Desulfovibrio.s__Desulfovibrio_piger	690.1138669472
UNINTEGRATED|g__Dorea.s__Dorea_longicatena	10039.6742500317
UNINTEGRATED|g__Blautia.s__Ruminococcus_obeum	20074.1795754579
UNINTEGRATED|g__Dorea.s__Dorea_formicigenerans	14595.8483394608
PWY-7219: adenosine ribonucleotides de novo biosynthesis	2759.8385006151
PWY-7219: adenosine ribonucleotides de novo biosynthesis|unclassified	1851.5908335642
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Prevotella.s__Prevotella_copri	238.4434057543
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Phascolarctobacterium.s__Phascolarctobacterium_succinatutens	158.6313155478
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Ruminococcus.s__Ruminococcus_champanellensis	120.9563929907
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	106.6700396679
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Eubacterium.s__Eubacterium_rectale	59.5067168387
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Prevotella.s__Prevotella_stercorea	34.9668533941
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Treponema.s__Treponema_succinifaciens	25.4121166866
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Roseburia.s__Roseburia_hominis	21.8817313458
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Erysipelotrichaceae_noname.s__Eubacterium_biforme	21.1842920810
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Roseburia.s__Roseburia_inulinivorans	18.3682442001
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Methanobrevibacter.s__Methanobrevibacter_smithii	17.4123509697
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Coprococcus.s__Coprococcus_eutactus	14.5263628125
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Dorea.s__Dorea_formicigenerans	9.8044358917
