Title,Description,BiocVersion,Genome,SourceType,SourceUrl,SourceVersion,Species,TaxonomyId,Coordinate_1_based,DataProvider,Maintainer,RDataClass,DispatchClass,RDataPath,Tags
2022-10-19.BedarfJR_2017.gene_families,BedarfJR 2017 Gene Families,3.16,NA,FASTQ,https://www.ncbi.nlm.nih.gov/sra,NA,NA,NA,FALSE,NCBI,Lucas Schiffer schifferl@bu.edu,dgCMatrix,Rda,curatedMetagenomicData/2022-10-19/BedarfJR_2017/2022-10-19.BedarfJR_2017.gene_families.rda,curatedMetagenomicData
2022-10-19.BedarfJR_2017.marker_abundance,BedarfJR 2017 Marker Abundance,3.16,NA,FASTQ,https://www.ncbi.nlm.nih.gov/sra,NA,NA,NA,FALSE,NCBI,Lucas Schiffer schifferl@bu.edu,matrix,Rda,curatedMetagenomicData/2022-10-19/BedarfJR_2017/2022-10-19.BedarfJR_2017.marker_abundance.rda,curatedMetagenomicData
2022-10-19.BedarfJR_2017.marker_presence,BedarfJR 2017 Marker Presence,3.16,NA,FASTQ,https://www.ncbi.nlm.nih.gov/sra,NA,NA,NA,FALSE,NCBI,Lucas Schiffer schifferl@bu.edu,matrix,Rda,curatedMetagenomicData/2022-10-19/BedarfJR_2017/2022-10-19.BedarfJR_2017.marker_presence.rda,curatedMetagenomicData
2022-10-19.BedarfJR_2017.pathway_abundance,BedarfJR 2017 Pathway Abundance,3.16,NA,FASTQ,https://www.ncbi.nlm.nih.gov/sra,NA,NA,NA,FALSE,NCBI,Lucas Schiffer schifferl@bu.edu,matrix,Rda,curatedMetagenomicData/2022-10-19/BedarfJR_2017/2022-10-19.BedarfJR_2017.pathway_abundance.rda,curatedMetagenomicData
2022-10-19.BedarfJR_2017.pathway_coverage,BedarfJR 2017 Pathway Coverage,3.16,NA,FASTQ,https://www.ncbi.nlm.nih.gov/sra,NA,NA,NA,FALSE,NCBI,Lucas Schiffer schifferl@bu.edu,matrix,Rda,curatedMetagenomicData/2022-10-19/BedarfJR_2017/2022-10-19.BedarfJR_2017.pathway_coverage.rda,curatedMetagenomicData
2022-10-19.BedarfJR_2017.relative_abundance,BedarfJR 2017 Relative Abundance,3.16,NA,FASTQ,https://www.ncbi.nlm.nih.gov/sra,NA,NA,NA,FALSE,NCBI,Lucas Schiffer schifferl@bu.edu,matrix,Rda,curatedMetagenomicData/2022-10-19/BedarfJR_2017/2022-10-19.BedarfJR_2017.relative_abundance.rda,curatedMetagenomicData
2022-10-19.IaniroG_2022.gene_families,IaniroG 2022 Gene Families,3.16,NA,FASTQ,https://www.ncbi.nlm.nih.gov/sra,NA,NA,NA,FALSE,NCBI,Lucas Schiffer schifferl@bu.edu,dgCMatrix,Rda,curatedMetagenomicData/2022-10-19/IaniroG_2022/2022-10-19.IaniroG_2022.gene_families.rda,curatedMetagenomicData
2022-10-19.IaniroG_2022.marker_abundance,IaniroG 2022 Marker Abundance,3.16,NA,FASTQ,https://www.ncbi.nlm.nih.gov/sra,NA,NA,NA,FALSE,NCBI,Lucas Schiffer schifferl@bu.edu,matrix,Rda,curatedMetagenomicData/2022-10-19/IaniroG_2022/2022-10-19.IaniroG_2022.marker_abundance.rda,curatedMetagenomicData
2022-10-19.IaniroG_2022.marker_presence,IaniroG 2022 Marker Presence,3.16,NA,FASTQ,https://www.ncbi.nlm.nih.gov/sra,NA,NA,NA,FALSE,NCBI,Lucas Schiffer schifferl@bu.edu,matrix,Rda,curatedMetagenomicData/2022-10-19/IaniroG_2022/2022-10-19.IaniroG_2022.marker_presence.rda,curatedMetagenomicData
2022-10-19.IaniroG_2022.pathway_abundance,IaniroG 2022 Pathway Abundance,3.16,NA,FASTQ,https://www.ncbi.nlm.nih.gov/sra,NA,NA,NA,FALSE,NCBI,Lucas Schiffer schifferl@bu.edu,matrix,Rda,curatedMetagenomicData/2022-10-19/IaniroG_2022/2022-10-19.IaniroG_2022.pathway_abundance.rda,curatedMetagenomicData
2022-10-19.IaniroG_2022.pathway_coverage,IaniroG 2022 Pathway Coverage,3.16,NA,FASTQ,https://www.ncbi.nlm.nih.gov/sra,NA,NA,NA,FALSE,NCBI,Lucas Schiffer schifferl@bu.edu,matrix,Rda,curatedMetagenomicData/2022-10-19/IaniroG_2022/2022-10-19.IaniroG_2022.pathway_coverage.rda,curatedMetagenomicData
2022-10-19.IaniroG_2022.relative_abundance,IaniroG 2022 Relative Abundance,3.16,NA,FASTQ,https://www.ncbi.nlm.nih.gov/sra,NA,NA,NA,FALSE,NCBI,Lucas Schiffer schifferl@bu.edu,matrix,Rda,curatedMetagenomicData/2022-10-19/IaniroG_2022/2022-10-19.IaniroG_2022.relative_abundance.rda,curatedMetagenomicData
2022-10-19.MetaCardis_2020_a.gene_families,MetaCardis 2020_a Gene Families,3.16,NA,FASTQ,https://www.ncbi.nlm.nih.gov/sra,NA,NA,NA,FALSE,NCBI,Lucas Schiffer schifferl@bu.edu,dgCMatrix,Rda,curatedMetagenomicData/2022-10-19/MetaCardis_2020_a/2022-10-19.MetaCardis_2020_a.gene_families.rda,curatedMetagenomicData
2022-10-19.MetaCardis_2020_a.marker_abundance,MetaCardis 2020_a Marker Abundance,3.16,NA,FASTQ,https://www.ncbi.nlm.nih.gov/sra,NA,NA,NA,FALSE,NCBI,Lucas Schiffer schifferl@bu.edu,matrix,Rda,curatedMetagenomicData/2022-10-19/MetaCardis_2020_a/2022-10-19.MetaCardis_2020_a.marker_abundance.rda,curatedMetagenomicData
2022-10-19.MetaCardis_2020_a.marker_presence,MetaCardis 2020_a Marker Presence,3.16,NA,FASTQ,https://www.ncbi.nlm.nih.gov/sra,NA,NA,NA,FALSE,NCBI,Lucas Schiffer schifferl@bu.edu,matrix,Rda,curatedMetagenomicData/2022-10-19/MetaCardis_2020_a/2022-10-19.MetaCardis_2020_a.marker_presence.rda,curatedMetagenomicData
2022-10-19.MetaCardis_2020_a.pathway_abundance,MetaCardis 2020_a Pathway Abundance,3.16,NA,FASTQ,https://www.ncbi.nlm.nih.gov/sra,NA,NA,NA,FALSE,NCBI,Lucas Schiffer schifferl@bu.edu,matrix,Rda,curatedMetagenomicData/2022-10-19/MetaCardis_2020_a/2022-10-19.MetaCardis_2020_a.pathway_abundance.rda,curatedMetagenomicData
2022-10-19.MetaCardis_2020_a.pathway_coverage,MetaCardis 2020_a Pathway Coverage,3.16,NA,FASTQ,https://www.ncbi.nlm.nih.gov/sra,NA,NA,NA,FALSE,NCBI,Lucas Schiffer schifferl@bu.edu,matrix,Rda,curatedMetagenomicData/2022-10-19/MetaCardis_2020_a/2022-10-19.MetaCardis_2020_a.pathway_coverage.rda,curatedMetagenomicData
2022-10-19.MetaCardis_2020_a.relative_abundance,MetaCardis 2020_a Relative Abundance,3.16,NA,FASTQ,https://www.ncbi.nlm.nih.gov/sra,NA,NA,NA,FALSE,NCBI,Lucas Schiffer schifferl@bu.edu,matrix,Rda,curatedMetagenomicData/2022-10-19/MetaCardis_2020_a/2022-10-19.MetaCardis_2020_a.relative_abundance.rda,curatedMetagenomicData
