Title,Description,BiocVersion,Genome,SourceType,SourceUrl,SourceVersion,Species,TaxonomyId,Coordinate_1_based,DataProvider,Maintainer,RDataClass,DispatchClass,Location_Prefix,RDataPath,Tags
2021-03-31.AsnicarF_2017.gene_families,AsnicarF 2017 Gene Families,3.13,NA,FASTQ,https://www.ncbi.nlm.nih.gov/sra,NA,NA,NA,FALSE,NCBI,Lucas Schiffer schifferl@bu.edu,dgTMatrix,Rda,https://s3.amazonaws.com/experimenthub/,curatedMetagenomicData/2021-03-31/AsnicarF_2017/2021-03-31.AsnicarF_2017.gene_families.rda,curatedMetagenomicData
2021-03-31.AsnicarF_2017.marker_abundance,AsnicarF 2017 Marker Abundance,3.13,NA,FASTQ,https://www.ncbi.nlm.nih.gov/sra,NA,NA,NA,FALSE,NCBI,Lucas Schiffer schifferl@bu.edu,matrix,Rda,https://s3.amazonaws.com/experimenthub/,curatedMetagenomicData/2021-03-31/AsnicarF_2017/2021-03-31.AsnicarF_2017.marker_abundance.rda,curatedMetagenomicData
2021-03-31.AsnicarF_2017.marker_presence,AsnicarF 2017 Marker Presence,3.13,NA,FASTQ,https://www.ncbi.nlm.nih.gov/sra,NA,NA,NA,FALSE,NCBI,Lucas Schiffer schifferl@bu.edu,matrix,Rda,https://s3.amazonaws.com/experimenthub/,curatedMetagenomicData/2021-03-31/AsnicarF_2017/2021-03-31.AsnicarF_2017.marker_presence.rda,curatedMetagenomicData
2021-03-31.AsnicarF_2017.pathway_abundance,AsnicarF 2017 Pathway Abundance,3.13,NA,FASTQ,https://www.ncbi.nlm.nih.gov/sra,NA,NA,NA,FALSE,NCBI,Lucas Schiffer schifferl@bu.edu,matrix,Rda,https://s3.amazonaws.com/experimenthub/,curatedMetagenomicData/2021-03-31/AsnicarF_2017/2021-03-31.AsnicarF_2017.pathway_abundance.rda,curatedMetagenomicData
2021-03-31.AsnicarF_2017.pathway_coverage,AsnicarF 2017 Pathway Coverage,3.13,NA,FASTQ,https://www.ncbi.nlm.nih.gov/sra,NA,NA,NA,FALSE,NCBI,Lucas Schiffer schifferl@bu.edu,matrix,Rda,https://s3.amazonaws.com/experimenthub/,curatedMetagenomicData/2021-03-31/AsnicarF_2017/2021-03-31.AsnicarF_2017.pathway_coverage.rda,curatedMetagenomicData
2021-03-31.AsnicarF_2017.relative_abundance,AsnicarF 2017 Relative Abundance,3.13,NA,FASTQ,https://www.ncbi.nlm.nih.gov/sra,NA,NA,NA,FALSE,NCBI,Lucas Schiffer schifferl@bu.edu,matrix,Rda,https://s3.amazonaws.com/experimenthub/,curatedMetagenomicData/2021-03-31/AsnicarF_2017/2021-03-31.AsnicarF_2017.relative_abundance.rda,curatedMetagenomicData
2021-03-31.AsnicarF_2021.gene_families,AsnicarF 2021 Gene Families,3.13,NA,FASTQ,https://www.ncbi.nlm.nih.gov/sra,NA,NA,NA,FALSE,NCBI,Lucas Schiffer schifferl@bu.edu,dgTMatrix,Rda,https://s3.amazonaws.com/experimenthub/,curatedMetagenomicData/2021-03-31/AsnicarF_2021/2021-03-31.AsnicarF_2021.gene_families.rda,curatedMetagenomicData
2021-03-31.AsnicarF_2021.marker_abundance,AsnicarF 2021 Marker Abundance,3.13,NA,FASTQ,https://www.ncbi.nlm.nih.gov/sra,NA,NA,NA,FALSE,NCBI,Lucas Schiffer schifferl@bu.edu,matrix,Rda,https://s3.amazonaws.com/experimenthub/,curatedMetagenomicData/2021-03-31/AsnicarF_2021/2021-03-31.AsnicarF_2021.marker_abundance.rda,curatedMetagenomicData
2021-03-31.AsnicarF_2021.marker_presence,AsnicarF 2021 Marker Presence,3.13,NA,FASTQ,https://www.ncbi.nlm.nih.gov/sra,NA,NA,NA,FALSE,NCBI,Lucas Schiffer schifferl@bu.edu,matrix,Rda,https://s3.amazonaws.com/experimenthub/,curatedMetagenomicData/2021-03-31/AsnicarF_2021/2021-03-31.AsnicarF_2021.marker_presence.rda,curatedMetagenomicData
2021-03-31.AsnicarF_2021.pathway_abundance,AsnicarF 2021 Pathway Abundance,3.13,NA,FASTQ,https://www.ncbi.nlm.nih.gov/sra,NA,NA,NA,FALSE,NCBI,Lucas Schiffer schifferl@bu.edu,matrix,Rda,https://s3.amazonaws.com/experimenthub/,curatedMetagenomicData/2021-03-31/AsnicarF_2021/2021-03-31.AsnicarF_2021.pathway_abundance.rda,curatedMetagenomicData
