Title,Description,BiocVersion,Genome,SourceType,SourceUrl,SourceVersion,Species,TaxonomyId,Coordinate_1_based,DataProvider,Maintainer,RDataClass,DispatchClass,RDataPath,Tags
2022-04-13.FrankelAE_2017.gene_families,FrankelAE 2017 Gene Families,3.15,NA,FASTQ,https://www.ncbi.nlm.nih.gov/sra,NA,NA,NA,FALSE,NCBI,Lucas Schiffer schifferl@bu.edu,dgCMatrix,Rda,curatedMetagenomicData/2022-04-13/FrankelAE_2017/2022-04-13.FrankelAE_2017.gene_families.rda,curatedMetagenomicData
2022-04-13.FrankelAE_2017.marker_abundance,FrankelAE 2017 Marker Abundance,3.15,NA,FASTQ,https://www.ncbi.nlm.nih.gov/sra,NA,NA,NA,FALSE,NCBI,Lucas Schiffer schifferl@bu.edu,matrix,Rda,curatedMetagenomicData/2022-04-13/FrankelAE_2017/2022-04-13.FrankelAE_2017.marker_abundance.rda,curatedMetagenomicData
2022-04-13.FrankelAE_2017.marker_presence,FrankelAE 2017 Marker Presence,3.15,NA,FASTQ,https://www.ncbi.nlm.nih.gov/sra,NA,NA,NA,FALSE,NCBI,Lucas Schiffer schifferl@bu.edu,matrix,Rda,curatedMetagenomicData/2022-04-13/FrankelAE_2017/2022-04-13.FrankelAE_2017.marker_presence.rda,curatedMetagenomicData
2022-04-13.FrankelAE_2017.pathway_abundance,FrankelAE 2017 Pathway Abundance,3.15,NA,FASTQ,https://www.ncbi.nlm.nih.gov/sra,NA,NA,NA,FALSE,NCBI,Lucas Schiffer schifferl@bu.edu,matrix,Rda,curatedMetagenomicData/2022-04-13/FrankelAE_2017/2022-04-13.FrankelAE_2017.pathway_abundance.rda,curatedMetagenomicData
2022-04-13.FrankelAE_2017.pathway_coverage,FrankelAE 2017 Pathway Coverage,3.15,NA,FASTQ,https://www.ncbi.nlm.nih.gov/sra,NA,NA,NA,FALSE,NCBI,Lucas Schiffer schifferl@bu.edu,matrix,Rda,curatedMetagenomicData/2022-04-13/FrankelAE_2017/2022-04-13.FrankelAE_2017.pathway_coverage.rda,curatedMetagenomicData
2022-04-13.FrankelAE_2017.relative_abundance,FrankelAE 2017 Relative Abundance,3.15,NA,FASTQ,https://www.ncbi.nlm.nih.gov/sra,NA,NA,NA,FALSE,NCBI,Lucas Schiffer schifferl@bu.edu,matrix,Rda,curatedMetagenomicData/2022-04-13/FrankelAE_2017/2022-04-13.FrankelAE_2017.relative_abundance.rda,curatedMetagenomicData
2022-04-13.LeeKA_2022.gene_families,LeeKA 2022 Gene Families,3.15,NA,FASTQ,https://www.ncbi.nlm.nih.gov/sra,NA,NA,NA,FALSE,NCBI,Lucas Schiffer schifferl@bu.edu,dgCMatrix,Rda,curatedMetagenomicData/2022-04-13/LeeKA_2022/2022-04-13.LeeKA_2022.gene_families.rda,curatedMetagenomicData
2022-04-13.LeeKA_2022.marker_abundance,LeeKA 2022 Marker Abundance,3.15,NA,FASTQ,https://www.ncbi.nlm.nih.gov/sra,NA,NA,NA,FALSE,NCBI,Lucas Schiffer schifferl@bu.edu,matrix,Rda,curatedMetagenomicData/2022-04-13/LeeKA_2022/2022-04-13.LeeKA_2022.marker_abundance.rda,curatedMetagenomicData
2022-04-13.LeeKA_2022.marker_presence,LeeKA 2022 Marker Presence,3.15,NA,FASTQ,https://www.ncbi.nlm.nih.gov/sra,NA,NA,NA,FALSE,NCBI,Lucas Schiffer schifferl@bu.edu,matrix,Rda,curatedMetagenomicData/2022-04-13/LeeKA_2022/2022-04-13.LeeKA_2022.marker_presence.rda,curatedMetagenomicData
2022-04-13.LeeKA_2022.pathway_abundance,LeeKA 2022 Pathway Abundance,3.15,NA,FASTQ,https://www.ncbi.nlm.nih.gov/sra,NA,NA,NA,FALSE,NCBI,Lucas Schiffer schifferl@bu.edu,matrix,Rda,curatedMetagenomicData/2022-04-13/LeeKA_2022/2022-04-13.LeeKA_2022.pathway_abundance.rda,curatedMetagenomicData
